y,x,counts
-0.500, -0.450, 1
-0.478, -0.450, 1
-0.456, -0.450, 3
-0.434, -0.450, 3
-0.412, -0.450, 6
-0.391, -0.450, 1
-0.369, -0.450, 4
-0.347, -0.450, 2
-0.325, -0.450, 2
-0.303, -0.450, 3
-0.281, -0.450, 2
-0.259, -0.450, 3
-0.237, -0.450, 3
-0.216, -0.450, 5
-0.194, -0.450, 9
-0.172, -0.450, 5
-0.150, -0.450, 5
-0.128, -0.450, 6
-0.106, -0.450, 1
-0.084, -0.450, 6
-0.062, -0.450, 5
-0.041, -0.450, 3
-0.019, -0.450, 3
0.003, -0.450, 2
0.025, -0.450, 3
0.047, -0.450, 7
0.069, -0.450, 3
0.091, -0.450, 5
0.113, -0.450, 2
0.134, -0.450, 4
0.156, -0.450, 2
0.178, -0.450, 3
0.200, -0.450, 2
0.222, -0.450, 3
0.244, -0.450, 1
0.266, -0.450, 7
0.287, -0.450, 3
0.309, -0.450, 3
0.331, -0.450, 5
0.353, -0.450, 5
0.375, -0.450, 3
0.397, -0.450, 1
-0.500, -0.428, 7
-0.478, -0.428, 0
-0.456, -0.428, 4
-0.434, -0.428, 3
-0.412, -0.428, 4
-0.391, -0.428, 3
-0.369, -0.428, 6
-0.347, -0.428, 4
-0.325, -0.428, 4
-0.303, -0.428, 4
-0.281, -0.428, 2
-0.259, -0.428, 4
-0.237, -0.428, 0
-0.216, -0.428, 1
-0.194, -0.428, 5
-0.172, -0.428, 5
-0.150, -0.428, 4
-0.128, -0.428, 6
-0.106, -0.428, 3
-0.084, -0.428, 2
-0.062, -0.428, 5
-0.041, -0.428, 4
-0.019, -0.428, 1
0.003, -0.428, 1
0.025, -0.428, 4
0.047, -0.428, 3
0.069, -0.428, 7
0.091, -0.428, 3
0.113, -0.428, 2
0.134, -0.428, 4
0.156, -0.428, 2
0.178, -0.428, 1
0.200, -0.428, 4
0.222, -0.428, 3
0.244, -0.428, 4
0.266, -0.428, 3
0.287, -0.428, 0
0.309, -0.428, 2
0.331, -0.428, 9
0.353, -0.428, 5
0.375, -0.428, 5
0.397, -0.428, 2
-0.500, -0.406, 2
-0.478, -0.406, 2
-0.456, -0.406, 3
-0.434, -0.406, 0
-0.412, -0.406, 7
-0.391, -0.406, 3
-0.369, -0.406, 7
-0.347, -0.406, 3
-0.325, -0.406, 3
-0.303, -0.406, 3
-0.281, -0.406, 2
-0.259, -0.406, 3
-0.237, -0.406, 4
-0.216, -0.406, 4
-0.194, -0.406, 6
-0.172, -0.406, 4
-0.150, -0.406, 4
-0.128, -0.406, 2
-0.106, -0.406, 6
-0.084, -0.406, 8
-0.062, -0.406, 1
-0.041, -0.406, 2
-0.019, -0.406, 3
0.003, -0.406, 2
0.025, -0.406, 5
0.047, -0.406, 3
0.069, -0.406, 5
0.091, -0.406, 5
0.113, -0.406, 2
0.134, -0.406, 1
0.156, -0.406, 5
0.178, -0.406, 3
0.200, -0.406, 2
0.222, -0.406, 3
0.244, -0.406, 5
0.266, -0.406, 1
0.287, -0.406, 6
0.309, -0.406, 3
0.331, -0.406, 1
0.353, -0.406, 1
0.375, -0.406, 0
0.397, -0.406, 1
-0.500, -0.384, 5
-0.478, -0.384, 2
-0.456, -0.384, 2
-0.434, -0.384, 3
-0.412, -0.384, 4
-0.391, -0.384, 5
-0.369, -0.384, 3
-0.347, -0.384, 8
-0.325, -0.384, 3
-0.303, -0.384, 6
-0.281, -0.384, 4
-0.259, -0.384, 9
-0.237, -0.384, 1
-0.216, -0.384, 4
-0.194, -0.384, 3
-0.172, -0.384, 3
-0.150, -0.384, 1
-0.128, -0.384, 6
-0.106, -0.384, 2
-0.084, -0.384, 3
-0.062, -0.384, 1
-0.041, -0.384, 2
-0.019, -0.384, 0
0.003, -0.384, 5
0.025, -0.384, 8
0.047, -0.384, 1
0.069, -0.384, 5
0.091, -0.384, 3
0.113, -0.384, 4
0.134, -0.384, 2
0.156, -0.384, 3
0.178, -0.384, 4
0.200, -0.384, 2
0.222, -0.384, 4
0.244, -0.384, 3
0.266, -0.384, 0
0.287, -0.384, 3
0.309, -0.384, 1
0.331, -0.384, 3
0.353, -0.384, 3
0.375, -0.384, 4
0.397, -0.384, 2
-0.500, -0.362, 2
-0.478, -0.362, 4
-0.456, -0.362, 2
-0.434, -0.362, 4
-0.412, -0.362, 4
-0.391, -0.362, 4
-0.369, -0.362, 4
-0.347, -0.362, 3
-0.325, -0.362, 3
-0.303, -0.362, 3
-0.281, -0.362, 6
-0.259, -0.362, 0
-0.237, -0.362, 1
-0.216, -0.362, 2
-0.194, -0.362, 6
-0.172, -0.362, 2
-0.150, -0.362, 2
-0.128, -0.362, 5
-0.106, -0.362, 3
-0.084, -0.362, 2
-0.062, -0.362, 4
-0.041, -0.362, 1
-0.019, -0.362, 4
0.003, -0.362, 1
0.025, -0.362, 5
0.047, -0.362, 3
0.069, -0.362, 6
0.091, -0.362, 0
0.113, -0.362, 4
0.134, -0.362, 4
0.156, -0.362, 5
0.178, -0.362, 4
0.200, -0.362, 4
0.222, -0.362, 5
0.244, -0.362, 3
0.266, -0.362, 3
0.287, -0.362, 2
0.309, -0.362, 1
0.331, -0.362, 1
0.353, -0.362, 4
0.375, -0.362, 2
0.397, -0.362, 6
-0.500, -0.341, 27
-0.478, -0.341, 10
-0.456, -0.341, 4
-0.434, -0.341, 4
-0.412, -0.341, 0
-0.391, -0.341, 3
-0.369, -0.341, 2
-0.347, -0.341, 7
-0.325, -0.341, 2
-0.303, -0.341, 4
-0.281, -0.341, 0
-0.259, -0.341, 1
-0.237, -0.341, 4
-0.216, -0.341, 2
-0.194, -0.341, 1
-0.172, -0.341, 2
-0.150, -0.341, 0
-0.128, -0.341, 6
-0.106, -0.341, 3
-0.084, -0.341, 5
-0.062, -0.341, 4
-0.041, -0.341, 4
-0.019, -0.341, 0
0.003, -0.341, 3
0.025, -0.341, 7
0.047, -0.341, 2
0.069, -0.341, 3
0.091, -0.341, 1
0.113, -0.341, 1
0.134, -0.341, 1
0.156, -0.341, 4
0.178, -0.341, 5
0.200, -0.341, 1
0.222, -0.341, 5
0.244, -0.341, 5
0.266, -0.341, 2
0.287, -0.341, 3
0.309, -0.341, 3
0.331, -0.341, 2
0.353, -0.341, 1
0.375, -0.341, 2
0.397, -0.341, 2
-0.500, -0.319, 55
-0.478, -0.319, 187
-0.456, -0.319, 44
-0.434, -0.319, 1
-0.412, -0.319, 3
-0.391, -0.319, 3
-0.369, -0.319, 5
-0.347, -0.319, 3
-0.325, -0.319, 3
-0.303, -0.319, 6
-0.281, -0.319, 2
-0.259, -0.319, 3
-0.237, -0.319, 5
-0.216, -0.319, 2
-0.194, -0.319, 2
-0.172, -0.319, 3
-0.150, -0.319, 2
-0.128, -0.319, 4
-0.106, -0.319, 3
-0.084, -0.319, 2
-0.062, -0.319, 5
-0.041, -0.319, 0
-0.019, -0.319, 5
0.003, -0.319, 0
0.025, -0.319, 3
0.047, -0.319, 9
0.069, -0.319, 2
0.091, -0.319, 3
0.113, -0.319, 0
0.134, -0.319, 5
0.156, -0.319, 5
0.178, -0.319, 5
0.200, -0.319, 1
0.222, -0.319, 0
0.244, -0.319, 2
0.266, -0.319, 3
0.287, -0.319, 6
0.309, -0.319, 3
0.331, -0.319, 2
0.353, -0.319, 3
0.375, -0.319, 5
0.397, -0.319, 1
-0.500, -0.297, 53
-0.478, -0.297, 70
-0.456, -0.297, 50
-0.434, -0.297, 120
-0.412, -0.297, 3
-0.391, -0.297, 4
-0.369, -0.297, 2
-0.347, -0.297, 3
-0.325, -0.297, 4
-0.303, -0.297, 4
-0.281, -0.297, 3
-0.259, -0.297, 6
-0.237, -0.297, 5
-0.216, -0.297, 4
-0.194, -0.297, 3
-0.172, -0.297, 2
-0.150, -0.297, 4
-0.128, -0.297, 7
-0.106, -0.297, 6
-0.084, -0.297, 2
-0.062, -0.297, 3
-0.041, -0.297, 6
-0.019, -0.297, 2
0.003, -0.297, 4
0.025, -0.297, 1
0.047, -0.297, 2
0.069, -0.297, 6
0.091, -0.297, 4
0.113, -0.297, 3
0.134, -0.297, 11
0.156, -0.297, 4
0.178, -0.297, 0
0.200, -0.297, 4
0.222, -0.297, 2
0.244, -0.297, 1
0.266, -0.297, 3
0.287, -0.297, 3
0.309, -0.297, 3
0.331, -0.297, 2
0.353, -0.297, 0
0.375, -0.297, 2
0.397, -0.297, 0
-0.500, -0.275, 56
-0.478, -0.275, 28
-0.456, -0.275, 45
-0.434, -0.275, 199
-0.412, -0.275, 294
-0.391, -0.275, 329
-0.369, -0.275, 452
-0.347, -0.275, 104
-0.325, -0.275, 249
-0.303, -0.275, 279
-0.281, -0.275, 266
-0.259, -0.275, 485
-0.237, -0.275, 76
-0.216, -0.275, 184
-0.194, -0.275, 327
-0.172, -0.275, 370
-0.150, -0.275, 191
-0.128, -0.275, 259
-0.106, -0.275, 208
-0.084, -0.275, 182
-0.062, -0.275, 138
-0.041, -0.275, 166
-0.019, -0.275, 213
0.003, -0.275, 568
0.025, -0.275, 317
0.047, -0.275, 193
0.069, -0.275, 245
0.091, -0.275, 119
0.113, -0.275, 268
0.134, -0.275, 533
0.156, -0.275, 50
0.178, -0.275, 9
0.200, -0.275, 0
0.222, -0.275, 6
0.244, -0.275, 2
0.266, -0.275, 3
0.287, -0.275, 3
0.309, -0.275, 3
0.331, -0.275, 3
0.353, -0.275, 3
0.375, -0.275, 6
0.397, -0.275, 2
-0.500, -0.253, 179
-0.478, -0.253, 49
-0.456, -0.253, 464
-0.434, -0.253, 323
-0.412, -0.253, 313
-0.391, -0.253, 297
-0.369, -0.253, 202
-0.347, -0.253, 300
-0.325, -0.253, 488
-0.303, -0.253, 168
-0.281, -0.253, 248
-0.259, -0.253, 433
-0.237, -0.253, 275
-0.216, -0.253, 157
-0.194, -0.253, 393
-0.172, -0.253, 82
-0.150, -0.253, 346
-0.128, -0.253, 260
-0.106, -0.253, 345
-0.084, -0.253, 424
-0.062, -0.253, 189
-0.041, -0.253, 179
-0.019, -0.253, 285
0.003, -0.253, 428
0.025, -0.253, 63
0.047, -0.253, 356
0.069, -0.253, 144
0.091, -0.253, 558
0.113, -0.253, 314
0.134, -0.253, 429
0.156, -0.253, 99
0.178, -0.253, 99
0.200, -0.253, 7
0.222, -0.253, 4
0.244, -0.253, 7
0.266, -0.253, 2
0.287, -0.253, 1
0.309, -0.253, 3
0.331, -0.253, 2
0.353, -0.253, 2
0.375, -0.253, 2
0.397, -0.253, 7
-0.500, -0.231, 159
-0.478, -0.231, 184
-0.456, -0.231, 650
-0.434, -0.231, 214
-0.412, -0.231, 196
-0.391, -0.231, 335
-0.369, -0.231, 244
-0.347, -0.231, 295
-0.325, -0.231, 235
-0.303, -0.231, 450
-0.281, -0.231, 120
-0.259, -0.231, 319
-0.237, -0.231, 267
-0.216, -0.231, 303
-0.194, -0.231, 457
-0.172, -0.231, 265
-0.150, -0.231, 406
-0.128, -0.231, 144
-0.106, -0.231, 238
-0.084, -0.231, 426
-0.062, -0.231, 279
-0.041, -0.231, 241
-0.019, -0.231, 350
0.003, -0.231, 331
0.025, -0.231, 423
0.047, -0.231, 132
0.069, -0.231, 249
0.091, -0.231, 294
0.113, -0.231, 445
0.134, -0.231, 354
0.156, -0.231, 263
0.178, -0.231, 127
0.200, -0.231, 141
0.222, -0.231, 3
0.244, -0.231, 3
0.266, -0.231, 3
0.287, -0.231, 2
0.309, -0.231, 2
0.331, -0.231, 2
0.353, -0.231, 2
0.375, -0.231, 5
0.397, -0.231, 5
-0.500, -0.209, 440
-0.478, -0.209, 218
-0.456, -0.209, 428
-0.434, -0.209, 418
-0.412, -0.209, 218
-0.391, -0.209, 124
-0.369, -0.209, 252
-0.347, -0.209, 335
-0.325, -0.209, 239
-0.303, -0.209, 215
-0.281, -0.209, 194
-0.259, -0.209, 299
-0.237, -0.209, 257
-0.216, -0.209, 367
-0.194, -0.209, 236
-0.172, -0.209, 261
-0.150, -0.209, 278
-0.128, -0.209, 321
-0.106, -0.209, 283
-0.084, -0.209, 462
-0.062, -0.209, 220
-0.041, -0.209, 270
-0.019, -0.209, 220
0.003, -0.209, 586
0.025, -0.209, 218
0.047, -0.209, 182
0.069, -0.209, 267
0.091, -0.209, 238
0.113, -0.209, 323
0.134, -0.209, 170
0.156, -0.209, 211
0.178, -0.209, 358
0.200, -0.209, 143
0.222, -0.209, 23
0.244, -0.209, 5
0.266, -0.209, 2
0.287, -0.209, 2
0.309, -0.209, 2
0.331, -0.209, 2
0.353, -0.209, 5
0.375, -0.209, 5
0.397, -0.209, 1
-0.500, -0.188, 284
-0.478, -0.188, 335
-0.456, -0.188, 339
-0.434, -0.188, 191
-0.412, -0.188, 437
-0.391, -0.188, 263
-0.369, -0.188, 169
-0.347, -0.188, 291
-0.325, -0.188, 462
-0.303, -0.188, 246
-0.281, -0.188, 424
-0.259, -0.188, 193
-0.237, -0.188, 191
-0.216, -0.188, 225
-0.194, -0.188, 431
-0.172, -0.188, 237
-0.150, -0.188, 249
-0.128, -0.188, 334
-0.106, -0.188, 474
-0.084, -0.188, 199
-0.062, -0.188, 225
-0.041, -0.188, 226
-0.019, -0.188, 524
0.003, -0.188, 129
0.025, -0.188, 204
0.047, -0.188, 201
0.069, -0.188, 462
0.091, -0.188, 228
0.113, -0.188, 335
0.134, -0.188, 220
0.156, -0.188, 264
0.178, -0.188, 354
0.200, -0.188, 360
0.222, -0.188, 19
0.244, -0.188, 1
0.266, -0.188, 3
0.287, -0.188, 3
0.309, -0.188, 3
0.331, -0.188, 2
0.353, -0.188, 2
0.375, -0.188, 4
0.397, -0.188, 7
-0.500, -0.166, 74
-0.478, -0.166, 135
-0.456, -0.166, 643
-0.434, -0.166, 225
-0.412, -0.166, 297
-0.391, -0.166, 371
-0.369, -0.166, 250
-0.347, -0.166, 108
-0.325, -0.166, 324
-0.303, -0.166, 319
-0.281, -0.166, 282
-0.259, -0.166, 225
-0.237, -0.166, 420
-0.216, -0.166, 351
-0.194, -0.166, 477
-0.172, -0.166, 104
-0.150, -0.166, 303
-0.128, -0.166, 182
-0.106, -0.166, 720
-0.084, -0.166, 132
-0.062, -0.166, 324
-0.041, -0.166, 116
-0.019, -0.166, 250
0.003, -0.166, 386
0.025, -0.166, 379
0.047, -0.166, 262
0.069, -0.166, 183
0.091, -0.166, 241
0.113, -0.166, 478
0.134, -0.166, 134
0.156, -0.166, 534
0.178, -0.166, 167
0.200, -0.166, 255
0.222, -0.166, 12
0.244, -0.166, 2
0.266, -0.166, 1
0.287, -0.166, 4
0.309, -0.166, 4
0.331, -0.166, 4
0.353, -0.166, 11
0.375, -0.166, 5
0.397, -0.166, 2
-0.500, -0.144, 17
-0.478, -0.144, 25
-0.456, -0.144, 276
-0.434, -0.144, 575
-0.412, -0.144, 422
-0.391, -0.144, 244
-0.369, -0.144, 126
-0.347, -0.144, 194
-0.325, -0.144, 199
-0.303, -0.144, 439
-0.281, -0.144, 222
-0.259, -0.144, 209
-0.237, -0.144, 247
-0.216, -0.144, 640
-0.194, -0.144, 133
-0.172, -0.144, 402
-0.150, -0.144, 141
-0.128, -0.144, 269
-0.106, -0.144, 278
-0.084, -0.144, 262
-0.062, -0.144, 455
-0.041, -0.144, 232
-0.019, -0.144, 262
0.003, -0.144, 491
0.025, -0.144, 179
0.047, -0.144, 271
0.069, -0.144, 152
0.091, -0.144, 357
0.113, -0.144, 405
0.134, -0.144, 318
0.156, -0.144, 256
0.178, -0.144, 222
0.200, -0.144, 67
0.222, -0.144, 1
0.244, -0.144, 3
0.266, -0.144, 3
0.287, -0.144, 4
0.309, -0.144, 2
0.331, -0.144, 4
0.353, -0.144, 6
0.375, -0.144, 1
0.397, -0.144, 4
-0.500, -0.122, 28
-0.478, -0.122, 51
-0.456, -0.122, 68
-0.434, -0.122, 279
-0.412, -0.122, 164
-0.391, -0.122, 276
-0.369, -0.122, 259
-0.347, -0.122, 262
-0.325, -0.122, 333
-0.303, -0.122, 298
-0.281, -0.122, 155
-0.259, -0.122, 222
-0.237, -0.122, 334
-0.216, -0.122, 425
-0.194, -0.122, 356
-0.172, -0.122, 242
-0.150, -0.122, 227
-0.128, -0.122, 285
-0.106, -0.122, 289
-0.084, -0.122, 225
-0.062, -0.122, 435
-0.041, -0.122, 128
-0.019, -0.122, 114
0.003, -0.122, 266
0.025, -0.122, 257
0.047, -0.122, 311
0.069, -0.122, 365
0.091, -0.122, 279
0.113, -0.122, 300
0.134, -0.122, 249
0.156, -0.122, 117
0.178, -0.122, 60
0.200, -0.122, 6
0.222, -0.122, 1
0.244, -0.122, 3
0.266, -0.122, 8
0.287, -0.122, 0
0.309, -0.122, 7
0.331, -0.122, 6
0.353, -0.122, 1
0.375, -0.122, 2
0.397, -0.122, 2
-0.500, -0.100, 12
-0.478, -0.100, 36
-0.456, -0.100, 20
-0.434, -0.100, 8
-0.412, -0.100, 4
-0.391, -0.100, 3
-0.369, -0.100, 3
-0.347, -0.100, 6
-0.325, -0.100, 4
-0.303, -0.100, 2
-0.281, -0.100, 4
-0.259, -0.100, 6
-0.237, -0.100, 7
-0.216, -0.100, 514
-0.194, -0.100, 534
-0.172, -0.100, 355
-0.150, -0.100, 150
-0.128, -0.100, 215
-0.106, -0.100, 347
-0.084, -0.100, 102
-0.062, -0.100, 276
-0.041, -0.100, 238
-0.019, -0.100, 113
0.003, -0.100, 44
0.025, -0.100, 20
0.047, -0.100, 4
0.069, -0.100, 6
0.091, -0.100, 9
0.113, -0.100, 5
0.134, -0.100, 7
0.156, -0.100, 8
0.178, -0.100, 5
0.200, -0.100, 5
0.222, -0.100, 0
0.244, -0.100, 3
0.266, -0.100, 3
0.287, -0.100, 3
0.309, -0.100, 7
0.331, -0.100, 1
0.353, -0.100, 4
0.375, -0.100, 4
0.397, -0.100, 0
-0.500, -0.078, 23
-0.478, -0.078, 32
-0.456, -0.078, 11
-0.434, -0.078, 0
-0.412, -0.078, 4
-0.391, -0.078, 5
-0.369, -0.078, 3
-0.347, -0.078, 2
-0.325, -0.078, 4
-0.303, -0.078, 5
-0.281, -0.078, 2
-0.259, -0.078, 1
-0.237, -0.078, 2
-0.216, -0.078, 160
-0.194, -0.078, 958
-0.172, -0.078, 183
-0.150, -0.078, 182
-0.128, -0.078, 307
-0.106, -0.078, 540
-0.084, -0.078, 151
-0.062, -0.078, 454
-0.041, -0.078, 46
-0.019, -0.078, 69
0.003, -0.078, 0
0.025, -0.078, 5
0.047, -0.078, 6
0.069, -0.078, 8
0.091, -0.078, 6
0.113, -0.078, 7
0.134, -0.078, 13
0.156, -0.078, 11
0.178, -0.078, 14
0.200, -0.078, 16
0.222, -0.078, 2
0.244, -0.078, 1
0.266, -0.078, 0
0.287, -0.078, 2
0.309, -0.078, 2
0.331, -0.078, 2
0.353, -0.078, 2
0.375, -0.078, 2
0.397, -0.078, 4
-0.500, -0.056, 19
-0.478, -0.056, 37
-0.456, -0.056, 39
-0.434, -0.056, 5
-0.412, -0.056, 11
-0.391, -0.056, 4
-0.369, -0.056, 4
-0.347, -0.056, 4
-0.325, -0.056, 4
-0.303, -0.056, 2
-0.281, -0.056, 4
-0.259, -0.056, 3
-0.237, -0.056, 4
-0.216, -0.056, 137
-0.194, -0.056, 485
-0.172, -0.056, 410
-0.150, -0.056, 340
-0.128, -0.056, 257
-0.106, -0.056, 151
-0.084, -0.056, 196
-0.062, -0.056, 526
-0.041, -0.056, 15
-0.019, -0.056, 23
0.003, -0.056, 14
0.025, -0.056, 10
0.047, -0.056, 2
0.069, -0.056, 14
0.091, -0.056, 15
0.113, -0.056, 5
0.134, -0.056, 14
0.156, -0.056, 4
0.178, -0.056, 2
0.200, -0.056, 1
