y,x,counts
-0.500, -0.500, 1
-0.472, -0.500, 1
-0.444, -0.500, 2
-0.416, -0.500, 3
-0.388, -0.500, 6
-0.359, -0.500, 2
-0.331, -0.500, 5
-0.303, -0.500, 1
-0.275, -0.500, 1
-0.247, -0.500, 5
-0.219, -0.500, 3
-0.191, -0.500, 4
-0.163, -0.500, 5
-0.134, -0.500, 6
-0.106, -0.500, 7
-0.078, -0.500, 1
-0.050, -0.500, 2
-0.022, -0.500, 4
0.006, -0.500, 4
0.034, -0.500, 2
0.062, -0.500, 4
0.091, -0.500, 2
0.119, -0.500, 2
0.147, -0.500, 3
0.175, -0.500, 3
0.203, -0.500, 3
0.231, -0.500, 2
0.259, -0.500, 1
0.287, -0.500, 8
0.316, -0.500, 1
0.344, -0.500, 6
0.372, -0.500, 3
0.400, -0.500, 2
0.428, -0.500, 4
0.456, -0.500, 3
0.484, -0.500, 3
-0.500, -0.472, 4
-0.472, -0.472, 4
-0.444, -0.472, 2
-0.416, -0.472, 2
-0.388, -0.472, 3
-0.359, -0.472, 8
-0.331, -0.472, 1
-0.303, -0.472, 5
-0.275, -0.472, 2
-0.247, -0.472, 0
-0.219, -0.472, 1
-0.191, -0.472, 3
-0.163, -0.472, 2
-0.134, -0.472, 3
-0.106, -0.472, 3
-0.078, -0.472, 3
-0.050, -0.472, 4
-0.022, -0.472, 3
0.006, -0.472, 3
0.034, -0.472, 3
0.062, -0.472, 6
0.091, -0.472, 9
0.119, -0.472, 1
0.147, -0.472, 0
0.175, -0.472, 4
0.203, -0.472, 2
0.231, -0.472, 4
0.259, -0.472, 7
0.287, -0.472, 4
0.316, -0.472, 4
0.344, -0.472, 2
0.372, -0.472, 3
0.400, -0.472, 6
0.428, -0.472, 0
0.456, -0.472, 5
0.484, -0.472, 3
-0.500, -0.444, 2
-0.472, -0.444, 1
-0.444, -0.444, 3
-0.416, -0.444, 2
-0.388, -0.444, 3
-0.359, -0.444, 3
-0.331, -0.444, 3
-0.303, -0.444, 5
-0.275, -0.444, 2
-0.247, -0.444, 5
-0.219, -0.444, 4
-0.191, -0.444, 5
-0.163, -0.444, 5
-0.134, -0.444, 6
-0.106, -0.444, 3
-0.078, -0.444, 5
-0.050, -0.444, 2
-0.022, -0.444, 6
0.006, -0.444, 5
0.034, -0.444, 2
0.062, -0.444, 2
0.091, -0.444, 4
