y,x,counts
-0.500, -0.500, 24
-0.472, -0.500, 2
-0.444, -0.500, 0
-0.416, -0.500, 0
-0.388, -0.500, 1
-0.359, -0.500, 3
-0.331, -0.500, 0
-0.303, -0.500, 6
-0.275, -0.500, 25
-0.247, -0.500, 20
-0.219, -0.500, 15
-0.191, -0.500, 15
-0.163, -0.500, 20
-0.134, -0.500, 24
-0.106, -0.500, 30
-0.078, -0.500, 22
-0.050, -0.500, 22
-0.022, -0.500, 13
0.006, -0.500, 21
0.034, -0.500, 15
0.062, -0.500, 14
0.091, -0.500, 13
0.119, -0.500, 29
0.147, -0.500, 24
0.175, -0.500, 17
0.203, -0.500, 22
0.231, -0.500, 24
0.259, -0.500, 22
0.287, -0.500, 16
0.316, -0.500, 20
0.344, -0.500, 20
0.372, -0.500, 21
0.400, -0.500, 20
0.428, -0.500, 19
0.456, -0.500, 17
0.484, -0.500, 15
-0.500, -0.472, 18
-0.472, -0.472, 5
-0.444, -0.472, 1
-0.416, -0.472, 3
-0.388, -0.472, 0
-0.359, -0.472, 0
-0.331, -0.472, 6
-0.303, -0.472, 14
-0.275, -0.472, 8
-0.247, -0.472, 20
-0.219, -0.472, 12
-0.191, -0.472, 16
-0.163, -0.472, 14
-0.134, -0.472, 14
-0.106, -0.472, 18
-0.078, -0.472, 19
-0.050, -0.472, 29
-0.022, -0.472, 12
0.006, -0.472, 14
0.034, -0.472, 24
0.062, -0.472, 12
0.091, -0.472, 12
0.119, -0.472, 15
0.147, -0.472, 10
0.175, -0.472, 22
0.203, -0.472, 18
0.231, -0.472, 16
0.259, -0.472, 23
0.287, -0.472, 15
0.316, -0.472, 14
0.344, -0.472, 28
0.372, -0.472, 15
0.400, -0.472, 19
0.428, -0.472, 15
0.456, -0.472, 22
0.484, -0.472, 20
-0.500, -0.444, 37
-0.472, -0.444, 13
-0.444, -0.444, 0
-0.416, -0.444, 0
-0.388, -0.444, 2
-0.359, -0.444, 1
-0.331, -0.444, 11
-0.303, -0.444, 22
-0.275, -0.444, 22
-0.247, -0.444, 23
-0.219, -0.444, 20
-0.191, -0.444, 26
-0.163, -0.444, 19
-0.134, -0.444, 24
-0.106, -0.444, 20
-0.078, -0.444, 28
-0.050, -0.444, 21
-0.022, -0.444, 18
0.006, -0.444, 21
0.034, -0.444, 14
0.062, -0.444, 24
0.091, -0.444, 19
0.119, -0.444, 18
0.147, -0.444, 13
0.175, -0.444, 20
0.203, -0.444, 14
0.231, -0.444, 11
0.259, -0.444, 16
0.287, -0.444, 24
0.316, -0.444, 11
0.344, -0.444, 24
0.372, -0.444, 21
0.400, -0.444, 17
0.428, -0.444, 20
0.456, -0.444, 28
0.484, -0.444, 25
-0.500, -0.416, 36
-0.472, -0.416, 8
-0.444, -0.416, 0
-0.416, -0.416, 1
-0.388, -0.416, 0
-0.359, -0.416, 2
-0.331, -0.416, 6
-0.303, -0.416, 15
-0.275, -0.416, 13
-0.247, -0.416, 19
-0.219, -0.416, 14
-0.191, -0.416, 15
-0.163, -0.416, 15
-0.134, -0.416, 25
-0.106, -0.416, 15
-0.078, -0.416, 14
-0.050, -0.416, 19
-0.022, -0.416, 13
0.006, -0.416, 19
0.034, -0.416, 17
0.062, -0.416, 19
0.091, -0.416, 22
0.119, -0.416, 24
0.147, -0.416, 20
0.175, -0.416, 22
0.203, -0.416, 14
0.231, -0.416, 19
0.259, -0.416, 22
0.287, -0.416, 22
0.316, -0.416, 25
0.344, -0.416, 16
0.372, -0.416, 22
0.400, -0.416, 15
0.428, -0.416, 13
0.456, -0.416, 23
0.484, -0.416, 14
-0.500, -0.388, 26
-0.472, -0.388, 12
-0.444, -0.388, 10
-0.416, -0.388, 2
-0.388, -0.388, 5
-0.359, -0.388, 2
-0.331, -0.388, 16
-0.303, -0.388, 13
-0.275, -0.388, 15
-0.247, -0.388, 20
-0.219, -0.388, 20
-0.191, -0.388, 22
-0.163, -0.388, 17
-0.134, -0.388, 19
-0.106, -0.388, 19
-0.078, -0.388, 27
-0.050, -0.388, 24
-0.022, -0.388, 20
0.006, -0.388, 12
0.034, -0.388, 24
0.062, -0.388, 20
0.091, -0.388, 23
0.119, -0.388, 14
0.147, -0.388, 21
0.175, -0.388, 18
0.203, -0.388, 20
0.231, -0.388, 15
0.259, -0.388, 14
0.287, -0.388, 15
0.316, -0.388, 19
0.344, -0.388, 13
0.372, -0.388, 16
0.400, -0.388, 17
0.428, -0.388, 14
0.456, -0.388, 21
0.484, -0.388, 8
-0.500, -0.359, 23
-0.472, -0.359, 14
-0.444, -0.359, 12
-0.416, -0.359, 16
-0.388, -0.359, 23
-0.359, -0.359, 18
-0.331, -0.359, 20
-0.303, -0.359, 22
-0.275, -0.359, 15
-0.247, -0.359, 22
-0.219, -0.359, 23
-0.191, -0.359, 20
-0.163, -0.359, 16
-0.134, -0.359, 13
-0.106, -0.359, 20
-0.078, -0.359, 18
-0.050, -0.359, 14
-0.022, -0.359, 13
0.006, -0.359, 13
0.034, -0.359, 24
0.062, -0.359, 22
0.091, -0.359, 14
0.119, -0.359, 17
0.147, -0.359, 15
0.175, -0.359, 16
0.203, -0.359, 14
0.231, -0.359, 21
0.259, -0.359, 25
0.287, -0.359, 14
0.316, -0.359, 25
0.344, -0.359, 23
0.372, -0.359, 16
0.400, -0.359, 24
0.428, -0.359, 15
0.456, -0.359, 22
0.484, -0.359, 16
-0.500, -0.331, 33
-0.472, -0.331, 19
-0.444, -0.331, 18
-0.416, -0.331, 13
-0.388, -0.331, 16
-0.359, -0.331, 18
-0.331, -0.331, 13
-0.303, -0.331, 12
-0.275, -0.331, 17
-0.247, -0.331, 15
-0.219, -0.331, 20
-0.191, -0.331, 13
-0.163, -0.331, 21
-0.134, -0.331, 14
-0.106, -0.331, 19
-0.078, -0.331, 21
-0.050, -0.331, 20
-0.022, -0.331, 17
0.006, -0.331, 23
0.034, -0.331, 10
0.062, -0.331, 23
0.091, -0.331, 23
0.119, -0.331, 10
0.147, -0.331, 14
0.175, -0.331, 20
0.203, -0.331, 19
0.231, -0.331, 23
0.259, -0.331, 15
0.287, -0.331, 21
0.316, -0.331, 18
0.344, -0.331, 18
0.372, -0.331, 14
0.400, -0.331, 15
0.428, -0.331, 21
0.456, -0.331, 21
0.484, -0.331, 18
-0.500, -0.303, 20
-0.472, -0.303, 81
-0.444, -0.303, 57
-0.416, -0.303, 25
-0.388, -0.303, 13
-0.359, -0.303, 22
-0.331, -0.303, 12
-0.303, -0.303, 19
-0.275, -0.303, 10
-0.247, -0.303, 14
-0.219, -0.303, 24
-0.191, -0.303, 34
-0.163, -0.303, 22
