y,x,counts
-0.500, -0.450, 12
-0.472, -0.450, 20
-0.444, -0.450, 14
-0.416, -0.450, 15
-0.388, -0.450, 11
-0.359, -0.450, 9
-0.331, -0.450, 14
-0.303, -0.450, 12
-0.275, -0.450, 10
-0.247, -0.450, 6
-0.219, -0.450, 10
-0.191, -0.450, 9
-0.163, -0.450, 10
-0.134, -0.450, 11
-0.106, -0.450, 9
-0.078, -0.450, 13
-0.050, -0.450, 15
-0.022, -0.450, 14
0.006, -0.450, 11
0.034, -0.450, 9
0.062, -0.450, 22
0.091, -0.450, 8
0.119, -0.450, 19
0.147, -0.450, 9
0.175, -0.450, 8
0.203, -0.450, 13
0.231, -0.450, 17
0.259, -0.450, 9
0.287, -0.450, 14
0.316, -0.450, 12
0.344, -0.450, 14
0.372, -0.450, 7
-0.500, -0.422, 8
-0.472, -0.422, 11
-0.444, -0.422, 15
-0.416, -0.422, 7
-0.388, -0.422, 6
-0.359, -0.422, 13
-0.331, -0.422, 4
-0.303, -0.422, 13
-0.275, -0.422, 7
-0.247, -0.422, 11
-0.219, -0.422, 11
-0.191, -0.422, 11
-0.163, -0.422, 6
-0.134, -0.422, 16
-0.106, -0.422, 14
-0.078, -0.422, 14
-0.050, -0.422, 8
-0.022, -0.422, 13
0.006, -0.422, 13
0.034, -0.422, 17
0.062, -0.422, 5
0.091, -0.422, 18
0.119, -0.422, 11
0.147, -0.422, 7
0.175, -0.422, 9
0.203, -0.422, 11
0.231, -0.422, 16
0.259, -0.422, 15
0.287, -0.422, 17
0.316, -0.422, 11
0.344, -0.422, 8
0.372, -0.422, 6
-0.500, -0.394, 15
-0.472, -0.394, 7
-0.444, -0.394, 7
-0.416, -0.394, 11
-0.388, -0.394, 11
-0.359, -0.394, 9
-0.331, -0.394, 11
-0.303, -0.394, 13
-0.275, -0.394, 6
-0.247, -0.394, 12
-0.219, -0.394, 7
-0.191, -0.394, 8
-0.163, -0.394, 6
-0.134, -0.394, 9
-0.106, -0.394, 8
-0.078, -0.394, 12
-0.050, -0.394, 12
-0.022, -0.394, 14
0.006, -0.394, 9
0.034, -0.394, 20
0.062, -0.394, 8
0.091, -0.394, 9
0.119, -0.394, 14
0.147, -0.394, 19
0.175, -0.394, 10
0.203, -0.394, 12
0.231, -0.394, 9
0.259, -0.394, 11
0.287, -0.394, 9
0.316, -0.394, 9
0.344, -0.394, 11
0.372, -0.394, 5
-0.500, -0.366, 6
-0.472, -0.366, 10
-0.444, -0.366, 11
-0.416, -0.366, 12
-0.388, -0.366, 7
-0.359, -0.366, 10
-0.331, -0.366, 17
-0.303, -0.366, 6
-0.275, -0.366, 11
-0.247, -0.366, 12
-0.219, -0.366, 6
-0.191, -0.366, 11
-0.163, -0.366, 13
-0.134, -0.366, 13
-0.106, -0.366, 15
-0.078, -0.366, 10
-0.050, -0.366, 4
-0.022, -0.366, 7
0.006, -0.366, 4
0.034, -0.366, 8
0.062, -0.366, 11
0.091, -0.366, 18
0.119, -0.366, 15
0.147, -0.366, 10
0.175, -0.366, 11
0.203, -0.366, 13
0.231, -0.366, 16
0.259, -0.366, 12
0.287, -0.366, 16
0.316, -0.366, 10
0.344, -0.366, 16
0.372, -0.366, 9
-0.500, -0.338, 17
-0.472, -0.338, 15
-0.444, -0.338, 7
-0.416, -0.338, 10
-0.388, -0.338, 9
-0.359, -0.338, 7
-0.331, -0.338, 9
-0.303, -0.338, 11
-0.275, -0.338, 6
-0.247, -0.338, 7
-0.219, -0.338, 8
-0.191, -0.338, 15
-0.163, -0.338, 8
-0.134, -0.338, 14
-0.106, -0.338, 1
-0.078, -0.338, 13
-0.050, -0.338, 12
-0.022, -0.338, 13
0.006, -0.338, 18
0.034, -0.338, 12
0.062, -0.338, 7
0.091, -0.338, 13
