y,x,counts
-0.500, -0.500, 25
-0.472, -0.500, 30
-0.444, -0.500, 10
-0.416, -0.500, 26
-0.388, -0.500, 18
-0.359, -0.500, 20
-0.331, -0.500, 26
-0.303, -0.500, 31
-0.275, -0.500, 17
-0.247, -0.500, 21
-0.219, -0.500, 27
-0.191, -0.500, 20
-0.163, -0.500, 25
-0.134, -0.500, 16
-0.106, -0.500, 27
-0.078, -0.500, 30
-0.050, -0.500, 19
-0.022, -0.500, 16
0.006, -0.500, 24
0.034, -0.500, 18
0.062, -0.500, 17
0.091, -0.500, 23
0.119, -0.500, 21
0.147, -0.500, 19
0.175, -0.500, 21
0.203, -0.500, 25
0.231, -0.500, 15
0.259, -0.500, 21
0.287, -0.500, 19
0.316, -0.500, 26
0.344, -0.500, 14
0.372, -0.500, 17
0.400, -0.500, 23
0.428, -0.500, 18
0.456, -0.500, 18
0.484, -0.500, 17
-0.500, -0.472, 29
-0.472, -0.472, 35
-0.444, -0.472, 2
-0.416, -0.472, 14
-0.388, -0.472, 22
-0.359, -0.472, 38
-0.331, -0.472, 18
-0.303, -0.472, 19
-0.275, -0.472, 31
-0.247, -0.472, 25
-0.219, -0.472, 15
-0.191, -0.472, 21
-0.163, -0.472, 20
-0.134, -0.472, 21
-0.106, -0.472, 23
-0.078, -0.472, 34
-0.050, -0.472, 27
-0.022, -0.472, 15
0.006, -0.472, 22
0.034, -0.472, 22
0.062, -0.472, 21
0.091, -0.472, 21
0.119, -0.472, 21
0.147, -0.472, 19
0.175, -0.472, 18
0.203, -0.472, 23
0.231, -0.472, 17
0.259, -0.472, 19
0.287, -0.472, 21
0.316, -0.472, 17
0.344, -0.472, 16
0.372, -0.472, 19
0.400, -0.472, 27
0.428, -0.472, 25
0.456, -0.472, 26
0.484, -0.472, 19
-0.500, -0.444, 25
-0.472, -0.444, 28
-0.444, -0.444, 11
-0.416, -0.444, 28
-0.388, -0.444, 27
-0.359, -0.444, 25
-0.331, -0.444, 33
-0.303, -0.444, 33
-0.275, -0.444, 20
-0.247, -0.444, 19
-0.219, -0.444, 18
-0.191, -0.444, 23
-0.163, -0.444, 21
-0.134, -0.444, 23
-0.106, -0.444, 34
-0.078, -0.444, 34
-0.050, -0.444, 17
-0.022, -0.444, 26
0.006, -0.444, 16
0.034, -0.444, 21
0.062, -0.444, 21
0.091, -0.444, 17
0.119, -0.444, 23
0.147, -0.444, 34
0.175, -0.444, 20
0.203, -0.444, 14
0.231, -0.444, 20
0.259, -0.444, 16
0.287, -0.444, 24
0.316, -0.444, 11
0.344, -0.444, 31
0.372, -0.444, 30
0.400, -0.444, 19
0.428, -0.444, 25
0.456, -0.444, 22
0.484, -0.444, 14
-0.500, -0.416, 20
-0.472, -0.416, 31
-0.444, -0.416, 9
-0.416, -0.416, 23
-0.388, -0.416, 23
-0.359, -0.416, 15
-0.331, -0.416, 15
-0.303, -0.416, 21
-0.275, -0.416, 42
-0.247, -0.416, 27
-0.219, -0.416, 9
-0.191, -0.416, 21
-0.163, -0.416, 14
-0.134, -0.416, 17
-0.106, -0.416, 25
-0.078, -0.416, 16
-0.050, -0.416, 20
-0.022, -0.416, 21
0.006, -0.416, 18
0.034, -0.416, 28
0.062, -0.416, 28
0.091, -0.416, 22
0.119, -0.416, 31
0.147, -0.416, 25
0.175, -0.416, 21
0.203, -0.416, 14
0.231, -0.416, 24
0.259, -0.416, 29
0.287, -0.416, 21
0.316, -0.416, 22
0.344, -0.416, 18
0.372, -0.416, 16
0.400, -0.416, 23
0.428, -0.416, 19
0.456, -0.416, 27
0.484, -0.416, 14
-0.500, -0.388, 28
-0.472, -0.388, 22
-0.444, -0.388, 18
-0.416, -0.388, 15
-0.388, -0.388, 21
-0.359, -0.388, 33
-0.331, -0.388, 34
-0.303, -0.388, 16
-0.275, -0.388, 31
-0.247, -0.388, 24
-0.219, -0.388, 15
-0.191, -0.388, 26
-0.163, -0.388, 24
-0.134, -0.388, 27
-0.106, -0.388, 18
-0.078, -0.388, 28
-0.050, -0.388, 25
-0.022, -0.388, 21
0.006, -0.388, 20
0.034, -0.388, 29
0.062, -0.388, 40
0.091, -0.388, 150
0.119, -0.388, 134
0.147, -0.388, 48
0.175, -0.388, 16
0.203, -0.388, 17
0.231, -0.388, 20
0.259, -0.388, 21
0.287, -0.388, 16
0.316, -0.388, 15
0.344, -0.388, 24
0.372, -0.388, 15
0.400, -0.388, 28
0.428, -0.388, 30
0.456, -0.388, 16
0.484, -0.388, 9
-0.500, -0.359, 38
-0.472, -0.359, 14
-0.444, -0.359, 19
-0.416, -0.359, 25
-0.388, -0.359, 20
-0.359, -0.359, 28
-0.331, -0.359, 25
-0.303, -0.359, 25
-0.275, -0.359, 22
-0.247, -0.359, 32
-0.219, -0.359, 20
-0.191, -0.359, 18
-0.163, -0.359, 21
-0.134, -0.359, 25
-0.106, -0.359, 16
-0.078, -0.359, 17
-0.050, -0.359, 100
-0.022, -0.359, 307
0.006, -0.359, 133
0.034, -0.359, 297
0.062, -0.359, 171
0.091, -0.359, 238
0.119, -0.359, 409
0.147, -0.359, 208
0.175, -0.359, 131
0.203, -0.359, 14
0.231, -0.359, 13
0.259, -0.359, 26
0.287, -0.359, 15
0.316, -0.359, 26
0.344, -0.359, 19
0.372, -0.359, 19
0.400, -0.359, 22
0.428, -0.359, 20
0.456, -0.359, 24
0.484, -0.359, 18
-0.500, -0.331, 16
-0.472, -0.331, 45
-0.444, -0.331, 28
-0.416, -0.331, 30
-0.388, -0.331, 33
-0.359, -0.331, 26
-0.331, -0.331, 29
-0.303, -0.331, 26
-0.275, -0.331, 38
-0.247, -0.331, 22
-0.219, -0.331, 24
-0.191, -0.331, 26
-0.163, -0.331, 162
-0.134, -0.331, 256
-0.106, -0.331, 294
-0.078, -0.331, 374
-0.050, -0.331, 367
-0.022, -0.331, 164
0.006, -0.331, 231
0.034, -0.331, 174
0.062, -0.331, 289
0.091, -0.331, 121
0.119, -0.331, 246
0.147, -0.331, 135
0.175, -0.331, 245
0.203, -0.331, 115
0.231, -0.331, 13
0.259, -0.331, 23
0.287, -0.331, 24
0.316, -0.331, 25
0.344, -0.331, 25
0.372, -0.331, 25
0.400, -0.331, 19
0.428, -0.331, 20
0.456, -0.331, 24
0.484, -0.331, 20
-0.500, -0.303, 22
-0.472, -0.303, 50
-0.444, -0.303, 71
-0.416, -0.303, 31
-0.388, -0.303, 21
-0.359, -0.303, 25
-0.331, -0.303, 29
-0.303, -0.303, 73
-0.275, -0.303, 114
-0.247, -0.303, 254
-0.219, -0.303, 286
-0.191, -0.303, 389
-0.163, -0.303, 248
-0.134, -0.303, 190
-0.106, -0.303, 138
-0.078, -0.303, 627
-0.050, -0.303, 165
-0.022, -0.303, 383
0.006, -0.303, 167
0.034, -0.303, 136
0.062, -0.303, 313
0.091, -0.303, 112
0.119, -0.303, 208
0.147, -0.303, 153
0.175, -0.303, 173
0.203, -0.303, 128
0.231, -0.303, 16
0.259, -0.303, 25
0.287, -0.303, 31
0.316, -0.303, 28
0.344, -0.303, 16
0.372, -0.303, 30
0.400, -0.303, 15
0.428, -0.303, 18
0.456, -0.303, 33
0.484, -0.303, 22
-0.500, -0.275, 17
-0.472, -0.275, 41
-0.444, -0.275, 66
-0.416, -0.275, 105
-0.388, -0.275, 144
-0.359, -0.275, 356
-0.331, -0.275, 284
-0.303, -0.275, 299
-0.275, -0.275, 175
-0.247, -0.275, 207
-0.219, -0.275, 165
-0.191, -0.275, 222
-0.163, -0.275, 254
-0.134, -0.275, 223
-0.106, -0.275, 167
-0.078, -0.275, 488
-0.050, -0.275, 210
-0.022, -0.275, 141
0.006, -0.275, 620
0.034, -0.275, 196
0.062, -0.275, 104
0.091, -0.275, 261
0.119, -0.275, 181
0.147, -0.275, 305
0.175, -0.275, 354
0.203, -0.275, 29
0.231, -0.275, 18
0.259, -0.275, 12
0.287, -0.275, 24
0.316, -0.275, 21
0.344, -0.275, 22
0.372, -0.275, 23
0.400, -0.275, 30
0.428, -0.275, 23
0.456, -0.275, 27
0.484, -0.275, 20
-0.500, -0.247, 166
-0.472, -0.247, 101
-0.444, -0.247, 182
-0.416, -0.247, 260
-0.388, -0.247, 154
-0.359, -0.247, 178
-0.331, -0.247, 262
-0.303, -0.247, 208
-0.275, -0.247, 195
-0.247, -0.247, 184
-0.219, -0.247, 210
-0.191, -0.247, 260
-0.163, -0.247, 427
-0.134, -0.247, 163
-0.106, -0.247, 288
-0.078, -0.247, 308
-0.050, -0.247, 203
-0.022, -0.247, 266
0.006, -0.247, 211
0.034, -0.247, 203
0.062, -0.247, 231
0.091, -0.247, 298
0.119, -0.247, 282
0.147, -0.247, 133
0.175, -0.247, 74
0.203, -0.247, 17
0.231, -0.247, 16
0.259, -0.247, 21
0.287, -0.247, 24
0.316, -0.247, 18
0.344, -0.247, 16
0.372, -0.247, 24
0.400, -0.247, 21
0.428, -0.247, 14
0.456, -0.247, 19
0.484, -0.247, 24
-0.500, -0.219, 252
-0.472, -0.219, 235
-0.444, -0.219, 304
-0.416, -0.219, 141
-0.388, -0.219, 186
-0.359, -0.219, 228
-0.331, -0.219, 195
-0.303, -0.219, 252
-0.275, -0.219, 266
-0.247, -0.219, 241
-0.219, -0.219, 202
-0.191, -0.219, 393
-0.163, -0.219, 225
-0.134, -0.219, 270
-0.106, -0.219, 129
-0.078, -0.219, 205
-0.050, -0.219, 398
-0.022, -0.219, 286
0.006, -0.219, 197
0.034, -0.219, 262
0.062, -0.219, 152
0.091, -0.219, 95
0.119, -0.219, 59
0.147, -0.219, 23
0.175, -0.219, 22
0.203, -0.219, 26
0.231, -0.219, 23
0.259, -0.219, 22
0.287, -0.219, 18
0.316, -0.219, 16
0.344, -0.219, 22
0.372, -0.219, 23
0.400, -0.219, 25
0.428, -0.219, 18
0.456, -0.219, 14
0.484, -0.219, 16
-0.500, -0.191, 86
