y,x,counts
-0.500, -0.500, 3
-0.472, -0.500, 4
-0.444, -0.500, 9
-0.416, -0.500, 8
-0.388, -0.500, 10
-0.359, -0.500, 10
-0.331, -0.500, 10
-0.303, -0.500, 9
-0.275, -0.500, 18
-0.247, -0.500, 13
-0.219, -0.500, 11
-0.191, -0.500, 10
-0.163, -0.500, 13
-0.134, -0.500, 15
-0.106, -0.500, 6
-0.078, -0.500, 14
-0.050, -0.500, 12
-0.022, -0.500, 11
0.006, -0.500, 15
0.034, -0.500, 5
0.062, -0.500, 8
0.091, -0.500, 16
0.119, -0.500, 7
0.147, -0.500, 7
0.175, -0.500, 6
0.203, -0.500, 8
0.231, -0.500, 10
0.259, -0.500, 6
0.287, -0.500, 15
0.316, -0.500, 11
0.344, -0.500, 11
0.372, -0.500, 9
0.400, -0.500, 6
0.428, -0.500, 9
0.456, -0.500, 9
0.484, -0.500, 13
-0.500, -0.472, 4
-0.472, -0.472, 9
-0.444, -0.472, 8
-0.416, -0.472, 12
-0.388, -0.472, 15
-0.359, -0.472, 9
-0.331, -0.472, 10
-0.303, -0.472, 6
-0.275, -0.472, 6
-0.247, -0.472, 12
-0.219, -0.472, 9
-0.191, -0.472, 7
-0.163, -0.472, 7
-0.134, -0.472, 3
-0.106, -0.472, 9
-0.078, -0.472, 13
-0.050, -0.472, 8
-0.022, -0.472, 6
0.006, -0.472, 6
0.034, -0.472, 13
0.062, -0.472, 8
0.091, -0.472, 7
0.119, -0.472, 9
0.147, -0.472, 8
0.175, -0.472, 13
0.203, -0.472, 10
0.231, -0.472, 7
0.259, -0.472, 7
0.287, -0.472, 16
0.316, -0.472, 10
0.344, -0.472, 10
0.372, -0.472, 13
0.400, -0.472, 9
0.428, -0.472, 4
0.456, -0.472, 10
0.484, -0.472, 13
-0.500, -0.444, 12
-0.472, -0.444, 12
-0.444, -0.444, 14
-0.416, -0.444, 8
-0.388, -0.444, 6
-0.359, -0.444, 8
-0.331, -0.444, 8
-0.303, -0.444, 11
-0.275, -0.444, 5
-0.247, -0.444, 9
-0.219, -0.444, 7
-0.191, -0.444, 8
-0.163, -0.444, 9
-0.134, -0.444, 13
-0.106, -0.444, 10
-0.078, -0.444, 8
-0.050, -0.444, 3
-0.022, -0.444, 4
0.006, -0.444, 9
0.034, -0.444, 9
0.062, -0.444, 7
0.091, -0.444, 8
0.119, -0.444, 6
0.147, -0.444, 10
0.175, -0.444, 13
0.203, -0.444, 11
0.231, -0.444, 14
0.259, -0.444, 7
0.287, -0.444, 7
0.316, -0.444, 9
0.344, -0.444, 10
0.372, -0.444, 12
0.400, -0.444, 9
0.428, -0.444, 5
0.456, -0.444, 10
0.484, -0.444, 9
-0.500, -0.416, 9
-0.472, -0.416, 13
-0.444, -0.416, 4
-0.416, -0.416, 8
-0.388, -0.416, 11
-0.359, -0.416, 14
-0.331, -0.416, 10
-0.303, -0.416, 12
-0.275, -0.416, 11
-0.247, -0.416, 19
-0.219, -0.416, 13
-0.191, -0.416, 14
-0.163, -0.416, 13
-0.134, -0.416, 11
-0.106, -0.416, 6
-0.078, -0.416, 11
-0.050, -0.416, 5
-0.022, -0.416, 6
0.006, -0.416, 7
0.034, -0.416, 4
0.062, -0.416, 11
0.091, -0.416, 18
0.119, -0.416, 9
0.147, -0.416, 11
0.175, -0.416, 9
0.203, -0.416, 9
0.231, -0.416, 8
0.259, -0.416, 9
0.287, -0.416, 7
0.316, -0.416, 7
0.344, -0.416, 13
0.372, -0.416, 12
0.400, -0.416, 5
0.428, -0.416, 5
0.456, -0.416, 10
0.484, -0.416, 13
-0.500, -0.388, 4
-0.472, -0.388, 2
-0.444, -0.388, 11
-0.416, -0.388, 10
-0.388, -0.388, 9
-0.359, -0.388, 14
-0.331, -0.388, 7
-0.303, -0.388, 11
-0.275, -0.388, 18
-0.247, -0.388, 6
-0.219, -0.388, 10
-0.191, -0.388, 8
-0.163, -0.388, 11
-0.134, -0.388, 6
-0.106, -0.388, 7
-0.078, -0.388, 12
-0.050, -0.388, 9
-0.022, -0.388, 6
0.006, -0.388, 8
0.034, -0.388, 11
0.062, -0.388, 6
0.091, -0.388, 6
0.119, -0.388, 10
0.147, -0.388, 8
0.175, -0.388, 7
0.203, -0.388, 14
0.231, -0.388, 14
0.259, -0.388, 10
0.287, -0.388, 12
0.316, -0.388, 9
0.344, -0.388, 7
0.372, -0.388, 6
0.400, -0.388, 8
0.428, -0.388, 7
0.456, -0.388, 17
0.484, -0.388, 10
-0.500, -0.359, 13
-0.472, -0.359, 11
-0.444, -0.359, 11
-0.416, -0.359, 9
-0.388, -0.359, 10
-0.359, -0.359, 11
-0.331, -0.359, 10
-0.303, -0.359, 10
-0.275, -0.359, 7
-0.247, -0.359, 15
-0.219, -0.359, 5
-0.191, -0.359, 10
-0.163, -0.359, 10
-0.134, -0.359, 8
-0.106, -0.359, 7
-0.078, -0.359, 5
-0.050, -0.359, 10
-0.022, -0.359, 10
0.006, -0.359, 13
0.034, -0.359, 6
0.062, -0.359, 12
0.091, -0.359, 9
0.119, -0.359, 12
0.147, -0.359, 8
0.175, -0.359, 8
0.203, -0.359, 11
0.231, -0.359, 8
0.259, -0.359, 8
0.287, -0.359, 9
0.316, -0.359, 11
0.344, -0.359, 12
0.372, -0.359, 10
0.400, -0.359, 14
0.428, -0.359, 9
0.456, -0.359, 11
0.484, -0.359, 5
-0.500, -0.331, 22
-0.472, -0.331, 70
-0.444, -0.331, 17
-0.416, -0.331, 10
-0.388, -0.331, 14
-0.359, -0.331, 11
-0.331, -0.331, 9
-0.303, -0.331, 9
-0.275, -0.331, 2
-0.247, -0.331, 10
-0.219, -0.331, 6
-0.191, -0.331, 15
-0.163, -0.331, 7
-0.134, -0.331, 7
-0.106, -0.331, 12
-0.078, -0.331, 5
-0.050, -0.331, 11
-0.022, -0.331, 6
0.006, -0.331, 9
0.034, -0.331, 8
0.062, -0.331, 14
0.091, -0.331, 8
0.119, -0.331, 18
0.147, -0.331, 9
0.175, -0.331, 5
0.203, -0.331, 8
0.231, -0.331, 10
0.259, -0.331, 14
0.287, -0.331, 7
0.316, -0.331, 8
0.344, -0.331, 4
0.372, -0.331, 9
0.400, -0.331, 5
0.428, -0.331, 11
0.456, -0.331, 12
0.484, -0.331, 10
-0.500, -0.303, 116
-0.472, -0.303, 258
-0.444, -0.303, 133
-0.416, -0.303, 729
-0.388, -0.303, 490
-0.359, -0.303, 938
-0.331, -0.303, 44
-0.303, -0.303, 7
-0.275, -0.303, 4
-0.247, -0.303, 7
-0.219, -0.303, 4
-0.191, -0.303, 3
-0.163, -0.303, 10
-0.134, -0.303, 9
-0.106, -0.303, 10
-0.078, -0.303, 12
-0.050, -0.303, 7
-0.022, -0.303, 11
0.006, -0.303, 7
0.034, -0.303, 5
0.062, -0.303, 8
0.091, -0.303, 8
0.119, -0.303, 8
0.147, -0.303, 9
0.175, -0.303, 11
0.203, -0.303, 7
0.231, -0.303, 10
0.259, -0.303, 13
0.287, -0.303, 7
0.316, -0.303, 11
0.344, -0.303, 11
0.372, -0.303, 11
0.400, -0.303, 10
0.428, -0.303, 14
0.456, -0.303, 10
0.484, -0.303, 6
-0.500, -0.275, 336
-0.472, -0.275, 114
-0.444, -0.275, 821
-0.416, -0.275, 323
-0.388, -0.275, 353
-0.359, -0.275, 470
-0.331, -0.275, 783
-0.303, -0.275, 249
-0.275, -0.275, 115
-0.247, -0.275, 15
-0.219, -0.275, 9
-0.191, -0.275, 14
-0.163, -0.275, 8
-0.134, -0.275, 12
-0.106, -0.275, 9
-0.078, -0.275, 10
-0.050, -0.275, 6
-0.022, -0.275, 13
0.006, -0.275, 20
0.034, -0.275, 14
0.062, -0.275, 13
0.091, -0.275, 16
0.119, -0.275, 8
0.147, -0.275, 7
0.175, -0.275, 4
0.203, -0.275, 12
0.231, -0.275, 9
0.259, -0.275, 9
0.287, -0.275, 3
0.316, -0.275, 6
0.344, -0.275, 7
0.372, -0.275, 13
0.400, -0.275, 10
0.428, -0.275, 4
0.456, -0.275, 7
0.484, -0.275, 8
-0.500, -0.247, 464
-0.472, -0.247, 1123
-0.444, -0.247, 206
-0.416, -0.247, 484
-0.388, -0.247, 586
-0.359, -0.247, 189
-0.331, -0.247, 282
-0.303, -0.247, 303
-0.275, -0.247, 225
-0.247, -0.247, 560
-0.219, -0.247, 241
-0.191, -0.247, 34
-0.163, -0.247, 9
-0.134, -0.247, 10
-0.106, -0.247, 16
-0.078, -0.247, 16
-0.050, -0.247, 6
-0.022, -0.247, 7
0.006, -0.247, 12
0.034, -0.247, 5
0.062, -0.247, 4
0.091, -0.247, 9
0.119, -0.247, 4
0.147, -0.247, 11
0.175, -0.247, 11
0.203, -0.247, 6
0.231, -0.247, 11
0.259, -0.247, 10
0.287, -0.247, 12
0.316, -0.247, 6
0.344, -0.247, 9
0.372, -0.247, 7
0.400, -0.247, 10
0.428, -0.247, 6
0.456, -0.247, 2
0.484, -0.247, 4
-0.500, -0.219, 362
-0.472, -0.219, 887
-0.444, -0.219, 441
-0.416, -0.219, 361
-0.388, -0.219, 589
-0.359, -0.219, 433
-0.331, -0.219, 291
-0.303, -0.219, 210
-0.275, -0.219, 1026
-0.247, -0.219, 125
-0.219, -0.219, 222
-0.191, -0.219, 300
-0.163, -0.219, 337
-0.134, -0.219, 174
-0.106, -0.219, 10
-0.078, -0.219, 9
-0.050, -0.219, 7
-0.022, -0.219, 8
0.006, -0.219, 12
0.034, -0.219, 18
0.062, -0.219, 8
0.091, -0.219, 9
0.119, -0.219, 17
0.147, -0.219, 6
0.175, -0.219, 9
0.203, -0.219, 9
0.231, -0.219, 10
0.259, -0.219, 10
0.287, -0.219, 16
0.316, -0.219, 15
0.344, -0.219, 5
0.372, -0.219, 11
0.400, -0.219, 11
0.428, -0.219, 8
0.456, -0.219, 8
0.484, -0.219, 9
-0.500, -0.191, 736
-0.472, -0.191, 236
-0.444, -0.191, 489
-0.416, -0.191, 398
-0.388, -0.191, 473
-0.359, -0.191, 484
-0.331, -0.191, 397
-0.303, -0.191, 394
-0.275, -0.191, 336
-0.247, -0.191, 617
-0.219, -0.191, 578
-0.191, -0.191, 256
-0.163, -0.191, 371
-0.134, -0.191, 210
-0.106, -0.191, 586
-0.078, -0.191, 207
-0.050, -0.191, 46
-0.022, -0.191, 9
0.006, -0.191, 5
0.034, -0.191, 8
0.062, -0.191, 6
0.091, -0.191, 8
0.119, -0.191, 6
0.147, -0.191, 5
0.175, -0.191, 12
0.203, -0.191, 16
0.231, -0.191, 6
0.259, -0.191, 1
0.287, -0.191, 12
0.316, -0.191, 9
0.344, -0.191, 4
0.372, -0.191, 11
0.400, -0.191, 8
0.428, -0.191, 13
0.456, -0.191, 7
0.484, -0.191, 7
-0.500, -0.163, 379
-0.472, -0.163, 68
-0.444, -0.163, 386
-0.416, -0.163, 774
-0.388, -0.163, 444
-0.359, -0.163, 311
-0.331, -0.163, 1088
-0.303, -0.163, 291
-0.275, -0.163, 692
-0.247, -0.163, 308
-0.219, -0.163, 432
-0.191, -0.163, 363
-0.163, -0.163, 186
-0.134, -0.163, 315
-0.106, -0.163, 483
-0.078, -0.163, 494
-0.050, -0.163, 348
-0.022, -0.163, 674
0.006, -0.163, 72
0.034, -0.163, 5
0.062, -0.163, 10
0.091, -0.163, 5
0.119, -0.163, 7
0.147, -0.163, 7
0.175, -0.163, 6
0.203, -0.163, 9
0.231, -0.163, 6
0.259, -0.163, 9
0.287, -0.163, 13
0.316, -0.163, 8
0.344, -0.163, 7
0.372, -0.163, 11
0.400, -0.163, 14
0.428, -0.163, 11
0.456, -0.163, 6
0.484, -0.163, 9
-0.500, -0.134, 102
-0.472, -0.134, 65
-0.444, -0.134, 28
-0.416, -0.134, 54
-0.388, -0.134, 134
-0.359, -0.134, 1293
-0.331, -0.134, 604
-0.303, -0.134, 209
-0.275, -0.134, 151
-0.247, -0.134, 335
-0.219, -0.134, 638
-0.191, -0.134, 249
-0.163, -0.134, 518
-0.134, -0.134, 446
-0.106, -0.134, 787
-0.078, -0.134, 303
-0.050, -0.134, 612
-0.022, -0.134, 128
0.006, -0.134, 610
0.034, -0.134, 456
0.062, -0.134, 143
0.091, -0.134, 36
0.119, -0.134, 7
0.147, -0.134, 4
0.175, -0.134, 11
0.203, -0.134, 17
0.231, -0.134, 8
0.259, -0.134, 13
0.287, -0.134, 10
