y,x,counts
-0.500, -0.500, 5
-0.472, -0.500, 6
-0.444, -0.500, 5
-0.416, -0.500, 4
-0.388, -0.500, 9
-0.359, -0.500, 25
-0.331, -0.500, 10
-0.303, -0.500, 3
-0.275, -0.500, 2
-0.247, -0.500, 6
-0.219, -0.500, 6
-0.191, -0.500, 7
-0.163, -0.500, 10
-0.134, -0.500, 7
-0.106, -0.500, 8
-0.078, -0.500, 17
-0.050, -0.500, 9
-0.022, -0.500, 8
0.006, -0.500, 6
0.034, -0.500, 8
0.062, -0.500, 9
0.091, -0.500, 8
0.119, -0.500, 7
0.147, -0.500, 2
0.175, -0.500, 6
0.203, -0.500, 11
0.231, -0.500, 9
0.259, -0.500, 9
0.287, -0.500, 9
0.316, -0.500, 8
0.344, -0.500, 4
0.372, -0.500, 4
0.400, -0.500, 7
0.428, -0.500, 10
0.456, -0.500, 12
0.484, -0.500, 8
-0.500, -0.472, 8
-0.472, -0.472, 1
-0.444, -0.472, 15
-0.416, -0.472, 8
-0.388, -0.472, 11
-0.359, -0.472, 7
-0.331, -0.472, 16
-0.303, -0.472, 6
-0.275, -0.472, 7
-0.247, -0.472, 13
-0.219, -0.472, 11
-0.191, -0.472, 5
-0.163, -0.472, 4
-0.134, -0.472, 5
-0.106, -0.472, 3
-0.078, -0.472, 10
-0.050, -0.472, 7
-0.022, -0.472, 7
0.006, -0.472, 8
0.034, -0.472, 8
0.062, -0.472, 5
0.091, -0.472, 4
0.119, -0.472, 6
0.147, -0.472, 5
0.175, -0.472, 8
0.203, -0.472, 7
0.231, -0.472, 10
0.259, -0.472, 12
0.287, -0.472, 6
0.316, -0.472, 7
0.344, -0.472, 6
0.372, -0.472, 5
0.400, -0.472, 12
0.428, -0.472, 7
0.456, -0.472, 3
0.484, -0.472, 11
-0.500, -0.444, 13
-0.472, -0.444, 3
-0.444, -0.444, 5
-0.416, -0.444, 5
-0.388, -0.444, 9
-0.359, -0.444, 11
-0.331, -0.444, 6
-0.303, -0.444, 7
-0.275, -0.444, 9
-0.247, -0.444, 3
-0.219, -0.444, 12
-0.191, -0.444, 4
-0.163, -0.444, 9
-0.134, -0.444, 15
-0.106, -0.444, 11
-0.078, -0.444, 7
-0.050, -0.444, 8
-0.022, -0.444, 9
0.006, -0.444, 5
0.034, -0.444, 9
0.062, -0.444, 10
0.091, -0.444, 5
0.119, -0.444, 4
0.147, -0.444, 5
0.175, -0.444, 9
0.203, -0.444, 12
0.231, -0.444, 12
0.259, -0.444, 5
0.287, -0.444, 7
0.316, -0.444, 7
0.344, -0.444, 4
0.372, -0.444, 10
0.400, -0.444, 7
0.428, -0.444, 8
0.456, -0.444, 5
0.484, -0.444, 7
