y,x,counts
-0.500, -0.500, 4
-0.472, -0.500, 7
-0.444, -0.500, 8
-0.416, -0.500, 6
-0.388, -0.500, 10
-0.359, -0.500, 16
-0.331, -0.500, 5
-0.303, -0.500, 10
-0.275, -0.500, 2
-0.247, -0.500, 4
-0.219, -0.500, 5
-0.191, -0.500, 14
-0.163, -0.500, 11
-0.134, -0.500, 8
-0.106, -0.500, 11
-0.078, -0.500, 9
-0.050, -0.500, 4
-0.022, -0.500, 5
0.006, -0.500, 17
0.034, -0.500, 8
0.062, -0.500, 6
0.091, -0.500, 4
0.119, -0.500, 6
0.147, -0.500, 8
0.175, -0.500, 8
0.203, -0.500, 8
0.231, -0.500, 8
0.259, -0.500, 9
0.287, -0.500, 4
0.316, -0.500, 4
0.344, -0.500, 11
0.372, -0.500, 7
0.400, -0.500, 7
0.428, -0.500, 10
0.456, -0.500, 8
0.484, -0.500, 7
-0.500, -0.472, 9
-0.472, -0.472, 3
-0.444, -0.472, 3
-0.416, -0.472, 6
-0.388, -0.472, 10
-0.359, -0.472, 8
-0.331, -0.472, 9
-0.303, -0.472, 6
-0.275, -0.472, 8
-0.247, -0.472, 8
-0.219, -0.472, 5
-0.191, -0.472, 6
-0.163, -0.472, 10
-0.134, -0.472, 11
-0.106, -0.472, 3
-0.078, -0.472, 9
-0.050, -0.472, 9
-0.022, -0.472, 7
0.006, -0.472, 5
0.034, -0.472, 5
0.062, -0.472, 9
0.091, -0.472, 10
0.119, -0.472, 4
0.147, -0.472, 5
0.175, -0.472, 7
0.203, -0.472, 9
0.231, -0.472, 4
0.259, -0.472, 6
0.287, -0.472, 7
0.316, -0.472, 7
0.344, -0.472, 6
0.372, -0.472, 13
0.400, -0.472, 6
0.428, -0.472, 6
0.456, -0.472, 6
0.484, -0.472, 5
-0.500, -0.444, 19
-0.472, -0.444, 10
-0.444, -0.444, 4
-0.416, -0.444, 6
-0.388, -0.444, 7
-0.359, -0.444, 10
-0.331, -0.444, 9
-0.303, -0.444, 8
-0.275, -0.444, 4
-0.247, -0.444, 9
-0.219, -0.444, 8
-0.191, -0.444, 4
-0.163, -0.444, 9
-0.134, -0.444, 6
-0.106, -0.444, 13
-0.078, -0.444, 9
-0.050, -0.444, 3
-0.022, -0.444, 10
0.006, -0.444, 5
0.034, -0.444, 9
0.062, -0.444, 6
0.091, -0.444, 6
0.119, -0.444, 10
0.147, -0.444, 9
0.175, -0.444, 13
0.203, -0.444, 11
0.231, -0.444, 10
0.259, -0.444, 5
0.287, -0.444, 6
0.316, -0.444, 6
0.344, -0.444, 9
0.372, -0.444, 8
0.400, -0.444, 7
0.428, -0.444, 17
0.456, -0.444, 5
0.484, -0.444, 6
-0.500, -0.416, 9
-0.472, -0.416, 6
-0.444, -0.416, 7
-0.416, -0.416, 5
-0.388, -0.416, 6
-0.359, -0.416, 10
-0.331, -0.416, 9
-0.303, -0.416, 14
-0.275, -0.416, 3
-0.247, -0.416, 4
-0.219, -0.416, 4
-0.191, -0.416, 11
-0.163, -0.416, 14
-0.134, -0.416, 9
-0.106, -0.416, 8
-0.078, -0.416, 10
-0.050, -0.416, 8
-0.022, -0.416, 5
0.006, -0.416, 5
0.034, -0.416, 9
0.062, -0.416, 8
0.091, -0.416, 7
0.119, -0.416, 8
0.147, -0.416, 7
0.175, -0.416, 6
0.203, -0.416, 10
0.231, -0.416, 11
0.259, -0.416, 3
0.287, -0.416, 4
0.316, -0.416, 3
0.344, -0.416, 13
0.372, -0.416, 16
0.400, -0.416, 4
0.428, -0.416, 6
0.456, -0.416, 8
0.484, -0.416, 10
-0.500, -0.388, 14
-0.472, -0.388, 7
-0.444, -0.388, 9
-0.416, -0.388, 7
-0.388, -0.388, 8
-0.359, -0.388, 5
-0.331, -0.388, 11
-0.303, -0.388, 7
-0.275, -0.388, 24
-0.247, -0.388, 3
-0.219, -0.388, 8
-0.191, -0.388, 6
-0.163, -0.388, 8
-0.134, -0.388, 7
-0.106, -0.388, 10
-0.078, -0.388, 9
-0.050, -0.388, 12
-0.022, -0.388, 9
0.006, -0.388, 9
0.034, -0.388, 8
0.062, -0.388, 3
0.091, -0.388, 3
0.119, -0.388, 7
0.147, -0.388, 4
0.175, -0.388, 7
0.203, -0.388, 11
0.231, -0.388, 4
0.259, -0.388, 4
0.287, -0.388, 11
0.316, -0.388, 4
0.344, -0.388, 6
0.372, -0.388, 9
0.400, -0.388, 7
0.428, -0.388, 7
0.456, -0.388, 7
0.484, -0.388, 4
-0.500, -0.359, 9
-0.472, -0.359, 6
-0.444, -0.359, 10
-0.416, -0.359, 3
-0.388, -0.359, 10
-0.359, -0.359, 10
-0.331, -0.359, 6
-0.303, -0.359, 2
-0.275, -0.359, 6
-0.247, -0.359, 14
-0.219, -0.359, 11
-0.191, -0.359, 7
-0.163, -0.359, 2
-0.134, -0.359, 6
-0.106, -0.359, 7
-0.078, -0.359, 5
-0.050, -0.359, 8
-0.022, -0.359, 10
0.006, -0.359, 12
0.034, -0.359, 9
0.062, -0.359, 8
0.091, -0.359, 6
0.119, -0.359, 3
0.147, -0.359, 5
0.175, -0.359, 9
0.203, -0.359, 8
0.231, -0.359, 11
0.259, -0.359, 7
0.287, -0.359, 11
0.316, -0.359, 5
0.344, -0.359, 6
0.372, -0.359, 5
0.400, -0.359, 6
0.428, -0.359, 7
0.456, -0.359, 9
0.484, -0.359, 6
-0.500, -0.331, 25
-0.472, -0.331, 51
-0.444, -0.331, 10
-0.416, -0.331, 10
-0.388, -0.331, 9
-0.359, -0.331, 15
-0.331, -0.331, 6
-0.303, -0.331, 4
-0.275, -0.331, 8
-0.247, -0.331, 8
-0.219, -0.331, 12
-0.191, -0.331, 8
-0.163, -0.331, 7
-0.134, -0.331, 8
-0.106, -0.331, 7
-0.078, -0.331, 5
-0.050, -0.331, 6
-0.022, -0.331, 10
0.006, -0.331, 5
0.034, -0.331, 10
0.062, -0.331, 7
0.091, -0.331, 3
0.119, -0.331, 6
0.147, -0.331, 6
0.175, -0.331, 6
0.203, -0.331, 4
0.231, -0.331, 7
0.259, -0.331, 8
0.287, -0.331, 6
0.316, -0.331, 6
0.344, -0.331, 9
0.372, -0.331, 3
0.400, -0.331, 7
0.428, -0.331, 9
0.456, -0.331, 6
0.484, -0.331, 7
-0.500, -0.303, 31
-0.472, -0.303, 174
-0.444, -0.303, 117
-0.416, -0.303, 6
-0.388, -0.303, 9
-0.359, -0.303, 4
-0.331, -0.303, 10
-0.303, -0.303, 7
-0.275, -0.303, 8
-0.247, -0.303, 12
-0.219, -0.303, 23
-0.191, -0.303, 4
-0.163, -0.303, 4
-0.134, -0.303, 7
-0.106, -0.303, 9
-0.078, -0.303, 9
-0.050, -0.303, 9
-0.022, -0.303, 9
0.006, -0.303, 6
0.034, -0.303, 7
0.062, -0.303, 10
0.091, -0.303, 11
0.119, -0.303, 11
0.147, -0.303, 4
0.175, -0.303, 7
0.203, -0.303, 16
0.231, -0.303, 8
0.259, -0.303, 6
0.287, -0.303, 4
0.316, -0.303, 8
0.344, -0.303, 5
0.372, -0.303, 6
0.400, -0.303, 6
0.428, -0.303, 8
0.456, -0.303, 13
0.484, -0.303, 7
-0.500, -0.275, 25
-0.472, -0.275, 63
-0.444, -0.275, 92
-0.416, -0.275, 505
-0.388, -0.275, 518
-0.359, -0.275, 168
-0.331, -0.275, 14
-0.303, -0.275, 6
-0.275, -0.275, 6
-0.247, -0.275, 8
-0.219, -0.275, 17
-0.191, -0.275, 4
-0.163, -0.275, 1
-0.134, -0.275, 8
-0.106, -0.275, 12
-0.078, -0.275, 6
-0.050, -0.275, 8
-0.022, -0.275, 2
0.006, -0.275, 8
0.034, -0.275, 6
0.062, -0.275, 10
0.091, -0.275, 10
0.119, -0.275, 3
0.147, -0.275, 10
0.175, -0.275, 8
0.203, -0.275, 5
0.231, -0.275, 8
0.259, -0.275, 6
0.287, -0.275, 7
0.316, -0.275, 7
0.344, -0.275, 8
0.372, -0.275, 9
0.400, -0.275, 10
0.428, -0.275, 4
0.456, -0.275, 7
0.484, -0.275, 12
-0.500, -0.247, 242
-0.472, -0.247, 116
-0.444, -0.247, 945
-0.416, -0.247, 413
-0.388, -0.247, 696
-0.359, -0.247, 327
-0.331, -0.247, 161
-0.303, -0.247, 10
-0.275, -0.247, 1
-0.247, -0.247, 4
-0.219, -0.247, 10
-0.191, -0.247, 12
-0.163, -0.247, 4
-0.134, -0.247, 8
-0.106, -0.247, 7
-0.078, -0.247, 4
-0.050, -0.247, 8
-0.022, -0.247, 7
0.006, -0.247, 8
0.034, -0.247, 6
0.062, -0.247, 7
0.091, -0.247, 7
0.119, -0.247, 7
0.147, -0.247, 14
0.175, -0.247, 6
0.203, -0.247, 10
0.231, -0.247, 7
0.259, -0.247, 11
0.287, -0.247, 13
0.316, -0.247, 7
0.344, -0.247, 11
0.372, -0.247, 9
0.400, -0.247, 6
0.428, -0.247, 6
0.456, -0.247, 7
0.484, -0.247, 6
-0.500, -0.219, 335
-0.472, -0.219, 169
-0.444, -0.219, 584
-0.416, -0.219, 586
-0.388, -0.219, 572
-0.359, -0.219, 404
-0.331, -0.219, 248
-0.303, -0.219, 77
-0.275, -0.219, 8
-0.247, -0.219, 7
-0.219, -0.219, 4
-0.191, -0.219, 8
-0.163, -0.219, 6
-0.134, -0.219, 7
-0.106, -0.219, 11
-0.078, -0.219, 6
-0.050, -0.219, 8
-0.022, -0.219, 10
0.006, -0.219, 4
0.034, -0.219, 12
0.062, -0.219, 5
0.091, -0.219, 6
0.119, -0.219, 4
0.147, -0.219, 6
0.175, -0.219, 8
0.203, -0.219, 7
0.231, -0.219, 3
0.259, -0.219, 8
0.287, -0.219, 8
0.316, -0.219, 2
0.344, -0.219, 11
0.372, -0.219, 9
0.400, -0.219, 9
0.428, -0.219, 14
0.456, -0.219, 4
0.484, -0.219, 12
-0.500, -0.191, 703
-0.472, -0.191, 421
-0.444, -0.191, 394
-0.416, -0.191, 467
-0.388, -0.191, 599
-0.359, -0.191, 348
-0.331, -0.191, 477
-0.303, -0.191, 127
-0.275, -0.191, 5
-0.247, -0.191, 12
-0.219, -0.191, 6
-0.191, -0.191, 15
-0.163, -0.191, 10
-0.134, -0.191, 14
-0.106, -0.191, 10
-0.078, -0.191, 9
-0.050, -0.191, 3
-0.022, -0.191, 3
0.006, -0.191, 13
0.034, -0.191, 9
0.062, -0.191, 10
0.091, -0.191, 5
0.119, -0.191, 10
0.147, -0.191, 7
0.175, -0.191, 9
0.203, -0.191, 9
0.231, -0.191, 2
0.259, -0.191, 6
0.287, -0.191, 7
0.316, -0.191, 10
0.344, -0.191, 11
0.372, -0.191, 7
0.400, -0.191, 7
0.428, -0.191, 8
0.456, -0.191, 7
0.484, -0.191, 5
-0.500, -0.163, 471
-0.472, -0.163, 490
-0.444, -0.163, 556
-0.416, -0.163, 319
-0.388, -0.163, 592
-0.359, -0.163, 696
-0.331, -0.163, 363
-0.303, -0.163, 37
-0.275, -0.163, 5
-0.247, -0.163, 5
-0.219, -0.163, 17
-0.191, -0.163, 2
-0.163, -0.163, 2
-0.134, -0.163, 5
-0.106, -0.163, 5
-0.078, -0.163, 9
-0.050, -0.163, 7
-0.022, -0.163, 7
0.006, -0.163, 9
0.034, -0.163, 11
0.062, -0.163, 7
0.091, -0.163, 11
0.119, -0.163, 12
0.147, -0.163, 8
0.175, -0.163, 10
0.203, -0.163, 11
0.231, -0.163, 6
0.259, -0.163, 7
0.287, -0.163, 8
0.316, -0.163, 4
0.344, -0.163, 5
0.372, -0.163, 8
0.400, -0.163, 17
0.428, -0.163, 10
0.456, -0.163, 3
0.484, -0.163, 7
-0.500, -0.134, 527
-0.472, -0.134, 684
-0.444, -0.134, 534
-0.416, -0.134, 539
-0.388, -0.134, 547
-0.359, -0.134, 318
-0.331, -0.134, 245
-0.303, -0.134, 35
-0.275, -0.134, 4
-0.247, -0.134, 6
-0.219, -0.134, 13
-0.191, -0.134, 3
-0.163, -0.134, 5
-0.134, -0.134, 3
-0.106, -0.134, 14
-0.078, -0.134, 10
-0.050, -0.134, 2
-0.022, -0.134, 4
0.006, -0.134, 10
0.034, -0.134, 8
0.062, -0.134, 7
0.091, -0.134, 8
0.119, -0.134, 10
0.147, -0.134, 7
0.175, -0.134, 10
0.203, -0.134, 14
0.231, -0.134, 9
0.259, -0.134, 6
0.287, -0.134, 11
0.316, -0.134, 7
0.344, -0.134, 6
0.372, -0.134, 14
0.400, -0.134, 4
0.428, -0.134, 3
0.456, -0.134, 8
0.484, -0.134, 7
-0.500, -0.106, 284
-0.472, -0.106, 619
-0.444, -0.106, 742
-0.416, -0.106, 241
-0.388, -0.106, 469
-0.359, -0.106, 349
-0.331, -0.106, 388
-0.303, -0.106, 196
-0.275, -0.106, 4
-0.247, -0.106, 5
-0.219, -0.106, 15
-0.191, -0.106, 5
-0.163, -0.106, 8
-0.134, -0.106, 13
-0.106, -0.106, 35
-0.078, -0.106, 5
-0.050, -0.106, 5
-0.022, -0.106, 9
0.006, -0.106, 3
0.034, -0.106, 8
0.062, -0.106, 4
0.091, -0.106, 3
0.119, -0.106, 7
0.147, -0.106, 12
0.175, -0.106, 8
0.203, -0.106, 63
0.231, -0.106, 2
0.259, -0.106, 6
0.287, -0.106, 9
0.316, -0.106, 7
0.344, -0.106, 4
0.372, -0.106, 8
0.400, -0.106, 7
0.428, -0.106, 14
0.456, -0.106, 10
0.484, -0.106, 9
-0.500, -0.078, 260
-0.472, -0.078, 455
-0.444, -0.078, 247
-0.416, -0.078, 679
-0.388, -0.078, 248
-0.359, -0.078, 503
-0.331, -0.078, 460
-0.303, -0.078, 431
-0.275, -0.078, 184
-0.247, -0.078, 571
-0.219, -0.078, 324
-0.191, -0.078, 290
-0.163, -0.078, 348
-0.134, -0.078, 301
-0.106, -0.078, 112
-0.078, -0.078, 253
-0.050, -0.078, 244
-0.022, -0.078, 150
0.006, -0.078, 119
0.034, -0.078, 169
0.062, -0.078, 136
0.091, -0.078, 83
0.119, -0.078, 95
0.147, -0.078, 45
0.175, -0.078, 11
0.203, -0.078, 10
0.231, -0.078, 7
0.259, -0.078, 11
0.287, -0.078, 6
0.316, -0.078, 7
0.344, -0.078, 7
0.372, -0.078, 8
0.400, -0.078, 7
0.428, -0.078, 13
0.456, -0.078, 9
0.484, -0.078, 6
-0.500, -0.050, 251
-0.472, -0.050, 487
-0.444, -0.050, 696
-0.416, -0.050, 253
-0.388, -0.050, 494
-0.359, -0.050, 541
-0.331, -0.050, 270
-0.303, -0.050, 666
-0.275, -0.050, 480
-0.247, -0.050, 244
-0.219, -0.050, 297
-0.191, -0.050, 216
-0.163, -0.050, 472
-0.134, -0.050, 801
-0.106, -0.050, 248
-0.078, -0.050, 313
-0.050, -0.050, 539
-0.022, -0.050, 289
0.006, -0.050, 433
0.034, -0.050, 658
0.062, -0.050, 384
0.091, -0.050, 365
0.119, -0.050, 481
0.147, -0.050, 354
0.175, -0.050, 325
0.203, -0.050, 5
0.231, -0.050, 4
