y,x,counts
-0.500, -0.350, 0
-0.478, -0.350, 51
-0.456, -0.350, 3
-0.434, -0.350, 5
-0.412, -0.350, 6
-0.391, -0.350, 3
-0.369, -0.350, 2
-0.347, -0.350, 3
-0.325, -0.350, 0
-0.303, -0.350, 3
-0.281, -0.350, 6
-0.259, -0.350, 1
-0.237, -0.350, 6
-0.216, -0.350, 2
-0.194, -0.350, 4
-0.172, -0.350, 3
-0.150, -0.350, 1
-0.128, -0.350, 4
-0.106, -0.350, 3
-0.084, -0.350, 3
-0.062, -0.350, 6
-0.041, -0.350, 1
-0.019, -0.350, 3
0.003, -0.350, 2
0.025, -0.350, 4
0.047, -0.350, 4
0.069, -0.350, 4
0.091, -0.350, 3
0.113, -0.350, 5
0.134, -0.350, 1
0.156, -0.350, 1
0.178, -0.350, 3
-0.500, -0.328, 41
-0.478, -0.328, 258
-0.456, -0.328, 20
-0.434, -0.328, 2
-0.412, -0.328, 2
-0.391, -0.328, 4
-0.369, -0.328, 2
-0.347, -0.328, 2
-0.325, -0.328, 3
-0.303, -0.328, 4
-0.281, -0.328, 3
-0.259, -0.328, 4
-0.237, -0.328, 1
-0.216, -0.328, 1
-0.194, -0.328, 4
-0.172, -0.328, 5
-0.150, -0.328, 3
-0.128, -0.328, 6
-0.106, -0.328, 4
-0.084, -0.328, 3
-0.062, -0.328, 5
-0.041, -0.328, 5
-0.019, -0.328, 3
0.003, -0.328, 2
0.025, -0.328, 2
0.047, -0.328, 6
0.069, -0.328, 3
0.091, -0.328, 2
0.113, -0.328, 3
0.134, -0.328, 6
0.156, -0.328, 2
0.178, -0.328, 3
-0.500, -0.306, 54
-0.478, -0.306, 453
-0.456, -0.306, 91
-0.434, -0.306, 17
-0.412, -0.306, 1
-0.391, -0.306, 1
-0.369, -0.306, 2
-0.347, -0.306, 1
-0.325, -0.306, 6
-0.303, -0.306, 2
-0.281, -0.306, 5
-0.259, -0.306, 3
-0.237, -0.306, 1
-0.216, -0.306, 5
-0.194, -0.306, 0
-0.172, -0.306, 2
-0.150, -0.306, 5
-0.128, -0.306, 4
-0.106, -0.306, 0
-0.084, -0.306, 2
-0.062, -0.306, 4
-0.041, -0.306, 5
-0.019, -0.306, 2
0.003, -0.306, 3
0.025, -0.306, 0
0.047, -0.306, 4
0.069, -0.306, 5
0.091, -0.306, 3
0.113, -0.306, 1
0.134, -0.306, 2
0.156, -0.306, 6
