y,x,counts
-0.500, -0.450, 141
-0.472, -0.450, 3
-0.444, -0.450, 3
-0.416, -0.450, 8
-0.388, -0.450, 4
-0.359, -0.450, 3
-0.331, -0.450, 4
-0.303, -0.450, 12
-0.275, -0.450, 3
-0.247, -0.450, 2
-0.219, -0.450, 3
-0.191, -0.450, 7
-0.163, -0.450, 5
-0.134, -0.450, 4
-0.106, -0.450, 10
-0.078, -0.450, 1
-0.050, -0.450, 5
-0.022, -0.450, 3
0.006, -0.450, 3
0.034, -0.450, 4
0.062, -0.450, 10
0.091, -0.450, 2
0.119, -0.450, 0
0.147, -0.450, 6
0.175, -0.450, 5
0.203, -0.450, 1
0.231, -0.450, 4
0.259, -0.450, 2
0.287, -0.450, 2
0.316, -0.450, 5
0.344, -0.450, 3
0.372, -0.450, 4
-0.500, -0.422, 1
-0.472, -0.422, 2
-0.444, -0.422, 0
-0.416, -0.422, 5
-0.388, -0.422, 5
-0.359, -0.422, 2
-0.331, -0.422, 2
-0.303, -0.422, 5
-0.275, -0.422, 3
-0.247, -0.422, 3
-0.219, -0.422, 5
-0.191, -0.422, 2
-0.163, -0.422, 1
-0.134, -0.422, 0
-0.106, -0.422, 5
-0.078, -0.422, 1
-0.050, -0.422, 5
-0.022, -0.422, 5
0.006, -0.422, 3
0.034, -0.422, 1
0.062, -0.422, 1
0.091, -0.422, 2
0.119, -0.422, 8
0.147, -0.422, 3
0.175, -0.422, 3
0.203, -0.422, 3
0.231, -0.422, 4
0.259, -0.422, 3
0.287, -0.422, 0
0.316, -0.422, 4
0.344, -0.422, 4
0.372, -0.422, 3
-0.500, -0.394, 10
-0.472, -0.394, 7
-0.444, -0.394, 4
-0.416, -0.394, 6
-0.388, -0.394, 7
-0.359, -0.394, 8
-0.331, -0.394, 3
-0.303, -0.394, 3
-0.275, -0.394, 9
-0.247, -0.394, 5
-0.219, -0.394, 4
-0.191, -0.394, 5
-0.163, -0.394, 2
-0.134, -0.394, 4
-0.106, -0.394, 2
-0.078, -0.394, 3
-0.050, -0.394, 2
-0.022, -0.394, 3
0.006, -0.394, 4
0.034, -0.394, 0
0.062, -0.394, 3
0.091, -0.394, 7
0.119, -0.394, 3
0.147, -0.394, 4
0.175, -0.394, 1
0.203, -0.394, 7
0.231, -0.394, 3
0.259, -0.394, 6
0.287, -0.394, 2
0.316, -0.394, 3
0.344, -0.394, 2
0.372, -0.394, 1
-0.500, -0.366, 5
-0.472, -0.366, 7
-0.444, -0.366, 1
-0.416, -0.366, 2
-0.388, -0.366, 6
-0.359, -0.366, 4
-0.331, -0.366, 1
-0.303, -0.366, 5
-0.275, -0.366, 0
-0.247, -0.366, 2
-0.219, -0.366, 1
-0.191, -0.366, 2
-0.163, -0.366, 8
-0.134, -0.366, 1
-0.106, -0.366, 4
-0.078, -0.366, 3
-0.050, -0.366, 2
-0.022, -0.366, 4
0.006, -0.366, 2
0.034, -0.366, 4
0.062, -0.366, 4
0.091, -0.366, 0
0.119, -0.366, 0
0.147, -0.366, 4
0.175, -0.366, 5
0.203, -0.366, 2
0.231, -0.366, 1
0.259, -0.366, 0
0.287, -0.366, 2
0.316, -0.366, 3
0.344, -0.366, 0
0.372, -0.366, 4
-0.500, -0.338, 21
-0.472, -0.338, 29
-0.444, -0.338, 4
-0.416, -0.338, 5
-0.388, -0.338, 10
-0.359, -0.338, 7
-0.331, -0.338, 5
-0.303, -0.338, 2
-0.275, -0.338, 4
-0.247, -0.338, 3
-0.219, -0.338, 5
-0.191, -0.338, 6
-0.163, -0.338, 4
-0.134, -0.338, 3
-0.106, -0.338, 3
-0.078, -0.338, 6
-0.050, -0.338, 4
-0.022, -0.338, 4
0.006, -0.338, 7
0.034, -0.338, 0
0.062, -0.338, 4
0.091, -0.338, 3
0.119, -0.338, 1
0.147, -0.338, 4
0.175, -0.338, 4
0.203, -0.338, 1
0.231, -0.338, 4
0.259, -0.338, 4
0.287, -0.338, 3
0.316, -0.338, 1
0.344, -0.338, 3
0.372, -0.338, 1
-0.500, -0.309, 145
-0.472, -0.309, 152
-0.444, -0.309, 295
-0.416, -0.309, 404
-0.388, -0.309, 334
-0.359, -0.309, 413
-0.331, -0.309, 247
-0.303, -0.309, 115
-0.275, -0.309, 469
-0.247, -0.309, 169
-0.219, -0.309, 175
-0.191, -0.309, 212
-0.163, -0.309, 328
-0.134, -0.309, 195
-0.106, -0.309, 270
-0.078, -0.309, 364
-0.050, -0.309, 220
-0.022, -0.309, 301
0.006, -0.309, 358
0.034, -0.309, 205
0.062, -0.309, 371
0.091, -0.309, 286
0.119, -0.309, 273
0.147, -0.309, 191
0.175, -0.309, 70
0.203, -0.309, 5
0.231, -0.309, 4
0.259, -0.309, 1
0.287, -0.309, 1
0.316, -0.309, 2
0.344, -0.309, 2
0.372, -0.309, 6
-0.500, -0.281, 334
-0.472, -0.281, 254
-0.444, -0.281, 529
-0.416, -0.281, 490
-0.388, -0.281, 96
-0.359, -0.281, 370
-0.331, -0.281, 209
-0.303, -0.281, 219
-0.275, -0.281, 364
-0.247, -0.281, 371
-0.219, -0.281, 241
-0.191, -0.281, 206
-0.163, -0.281, 295
-0.134, -0.281, 287
-0.106, -0.281, 299
-0.078, -0.281, 282
-0.050, -0.281, 258
-0.022, -0.281, 137
0.006, -0.281, 363
0.034, -0.281, 392
0.062, -0.281, 259
0.091, -0.281, 206
0.119, -0.281, 208
0.147, -0.281, 308
0.175, -0.281, 253
0.203, -0.281, 88
0.231, -0.281, 1
0.259, -0.281, 1
0.287, -0.281, 3
0.316, -0.281, 5
0.344, -0.281, 5
0.372, -0.281, 5
-0.500, -0.253, 258
-0.472, -0.253, 282
-0.444, -0.253, 492
-0.416, -0.253, 261
-0.388, -0.253, 247
-0.359, -0.253, 123
-0.331, -0.253, 580
-0.303, -0.253, 143
-0.275, -0.253, 434
-0.247, -0.253, 110
-0.219, -0.253, 162
-0.191, -0.253, 214
-0.163, -0.253, 344
-0.134, -0.253, 199
-0.106, -0.253, 275
-0.078, -0.253, 424
-0.050, -0.253, 211
-0.022, -0.253, 217
0.006, -0.253, 124
0.034, -0.253, 253
0.062, -0.253, 252
0.091, -0.253, 114
0.119, -0.253, 344
0.147, -0.253, 273
0.175, -0.253, 506
0.203, -0.253, 86
0.231, -0.253, 4
0.259, -0.253, 3
0.287, -0.253, 1
0.316, -0.253, 4
0.344, -0.253, 2
0.372, -0.253, 3
-0.500, -0.225, 261
-0.472, -0.225, 530
-0.444, -0.225, 350
-0.416, -0.225, 405
-0.388, -0.225, 148
-0.359, -0.225, 109
-0.331, -0.225, 405
-0.303, -0.225, 200
-0.275, -0.225, 384
-0.247, -0.225, 156
-0.219, -0.225, 321
-0.191, -0.225, 269
-0.163, -0.225, 329
-0.134, -0.225, 324
-0.106, -0.225, 200
-0.078, -0.225, 234
-0.050, -0.225, 255
-0.022, -0.225, 292
0.006, -0.225, 208
0.034, -0.225, 349
0.062, -0.225, 261
0.091, -0.225, 214
0.119, -0.225, 296
0.147, -0.225, 282
0.175, -0.225, 292
0.203, -0.225, 263
0.231, -0.225, 1
0.259, -0.225, 4
0.287, -0.225, 0
0.316, -0.225, 3
0.344, -0.225, 4
0.372, -0.225, 2
-0.500, -0.197, 434
-0.472, -0.197, 623
-0.444, -0.197, 169
-0.416, -0.197, 204
-0.388, -0.197, 408
-0.359, -0.197, 337
-0.331, -0.197, 231
-0.303, -0.197, 234
-0.275, -0.197, 363
-0.247, -0.197, 174
-0.219, -0.197, 277
-0.191, -0.197, 219
-0.163, -0.197, 290
-0.134, -0.197, 349
-0.106, -0.197, 583
-0.078, -0.197, 57
-0.050, -0.197, 206
-0.022, -0.197, 294
0.006, -0.197, 186
0.034, -0.197, 371
0.062, -0.197, 416
0.091, -0.197, 239
0.119, -0.197, 91
0.147, -0.197, 179
0.175, -0.197, 376
0.203, -0.197, 200
0.231, -0.197, 14
0.259, -0.197, 1
0.287, -0.197, 1
0.316, -0.197, 5
0.344, -0.197, 3
0.372, -0.197, 2
-0.500, -0.169, 505
-0.472, -0.169, 770
-0.444, -0.169, 67
-0.416, -0.169, 350
-0.388, -0.169, 222
-0.359, -0.169, 241
-0.331, -0.169, 160
-0.303, -0.169, 269
-0.275, -0.169, 98
-0.247, -0.169, 336
