y,x,counts
-0.500, -0.500, 19
-0.472, -0.500, 13
-0.444, -0.500, 24
-0.416, -0.500, 21
-0.388, -0.500, 27
-0.359, -0.500, 27
-0.331, -0.500, 22
-0.303, -0.500, 23
-0.275, -0.500, 29
-0.247, -0.500, 25
-0.219, -0.500, 19
-0.191, -0.500, 18
-0.163, -0.500, 30
-0.134, -0.500, 30
-0.106, -0.500, 24
-0.078, -0.500, 23
-0.050, -0.500, 22
-0.022, -0.500, 21
0.006, -0.500, 29
0.034, -0.500, 20
0.062, -0.500, 17
0.091, -0.500, 26
0.119, -0.500, 16
0.147, -0.500, 20
0.175, -0.500, 22
0.203, -0.500, 27
0.231, -0.500, 23
0.259, -0.500, 21
0.287, -0.500, 26
0.316, -0.500, 28
0.344, -0.500, 25
0.372, -0.500, 16
0.400, -0.500, 16
0.428, -0.500, 15
0.456, -0.500, 15
0.484, -0.500, 28
-0.500, -0.472, 30
-0.472, -0.472, 28
-0.444, -0.472, 21
-0.416, -0.472, 26
-0.388, -0.472, 21
-0.359, -0.472, 24
-0.331, -0.472, 37
-0.303, -0.472, 23
-0.275, -0.472, 20
-0.247, -0.472, 19
-0.219, -0.472, 19
-0.191, -0.472, 17
-0.163, -0.472, 20
-0.134, -0.472, 18
-0.106, -0.472, 18
-0.078, -0.472, 29
-0.050, -0.472, 26
-0.022, -0.472, 33
0.006, -0.472, 17
0.034, -0.472, 30
0.062, -0.472, 19
0.091, -0.472, 22
0.119, -0.472, 13
0.147, -0.472, 18
0.175, -0.472, 23
0.203, -0.472, 22
0.231, -0.472, 24
0.259, -0.472, 24
0.287, -0.472, 14
0.316, -0.472, 26
0.344, -0.472, 20
0.372, -0.472, 21
0.400, -0.472, 21
0.428, -0.472, 14
0.456, -0.472, 23
0.484, -0.472, 16
-0.500, -0.444, 20
-0.472, -0.444, 14
-0.444, -0.444, 26
-0.416, -0.444, 29
-0.388, -0.444, 22
-0.359, -0.444, 28
-0.331, -0.444, 15
-0.303, -0.444, 20
-0.275, -0.444, 30
-0.247, -0.444, 22
-0.219, -0.444, 17
-0.191, -0.444, 13
-0.163, -0.444, 20
-0.134, -0.444, 21
-0.106, -0.444, 22
-0.078, -0.444, 23
-0.050, -0.444, 31
-0.022, -0.444, 19
0.006, -0.444, 22
0.034, -0.444, 29
0.062, -0.444, 32
0.091, -0.444, 23
0.119, -0.444, 22
0.147, -0.444, 20
0.175, -0.444, 18
0.203, -0.444, 15
0.231, -0.444, 20
0.259, -0.444, 18
0.287, -0.444, 20
0.316, -0.444, 26
0.344, -0.444, 25
0.372, -0.444, 25
0.400, -0.444, 18
0.428, -0.444, 27
0.456, -0.444, 33
0.484, -0.444, 23
-0.500, -0.416, 36
-0.472, -0.416, 10
-0.444, -0.416, 17
-0.416, -0.416, 25
-0.388, -0.416, 28
-0.359, -0.416, 25
-0.331, -0.416, 32
-0.303, -0.416, 23
-0.275, -0.416, 32
-0.247, -0.416, 20
-0.219, -0.416, 16
-0.191, -0.416, 18
-0.163, -0.416, 20
-0.134, -0.416, 27
-0.106, -0.416, 19
-0.078, -0.416, 18
-0.050, -0.416, 18
-0.022, -0.416, 21
0.006, -0.416, 18
0.034, -0.416, 19
0.062, -0.416, 26
0.091, -0.416, 22
0.119, -0.416, 25
0.147, -0.416, 17
0.175, -0.416, 27
0.203, -0.416, 16
0.231, -0.416, 22
0.259, -0.416, 14
0.287, -0.416, 17
0.316, -0.416, 16
0.344, -0.416, 26
0.372, -0.416, 25
0.400, -0.416, 25
0.428, -0.416, 18
0.456, -0.416, 25
0.484, -0.416, 20
-0.500, -0.388, 32
-0.472, -0.388, 6
-0.444, -0.388, 20
-0.416, -0.388, 26
-0.388, -0.388, 18
-0.359, -0.388, 19
-0.331, -0.388, 25
-0.303, -0.388, 26
-0.275, -0.388, 22
-0.247, -0.388, 25
-0.219, -0.388, 21
-0.191, -0.388, 19
-0.163, -0.388, 19
-0.134, -0.388, 21
-0.106, -0.388, 25
-0.078, -0.388, 25
-0.050, -0.388, 19
-0.022, -0.388, 19
0.006, -0.388, 31
0.034, -0.388, 27
0.062, -0.388, 19
0.091, -0.388, 25
0.119, -0.388, 21
0.147, -0.388, 16
0.175, -0.388, 15
0.203, -0.388, 18
0.231, -0.388, 22
0.259, -0.388, 20
0.287, -0.388, 15
0.316, -0.388, 21
0.344, -0.388, 16
0.372, -0.388, 21
0.400, -0.388, 24
0.428, -0.388, 27
0.456, -0.388, 15
0.484, -0.388, 20
-0.500, -0.359, 34
-0.472, -0.359, 22
-0.444, -0.359, 20
-0.416, -0.359, 22
-0.388, -0.359, 28
-0.359, -0.359, 45
-0.331, -0.359, 44
-0.303, -0.359, 29
-0.275, -0.359, 32
-0.247, -0.359, 18
-0.219, -0.359, 26
-0.191, -0.359, 22
-0.163, -0.359, 17
-0.134, -0.359, 21
-0.106, -0.359, 21
-0.078, -0.359, 25
-0.050, -0.359, 27
-0.022, -0.359, 19
0.006, -0.359, 15
0.034, -0.359, 25
0.062, -0.359, 22
0.091, -0.359, 19
0.119, -0.359, 22
0.147, -0.359, 11
0.175, -0.359, 18
0.203, -0.359, 18
0.231, -0.359, 17
0.259, -0.359, 15
0.287, -0.359, 25
0.316, -0.359, 22
0.344, -0.359, 23
0.372, -0.359, 21
0.400, -0.359, 15
0.428, -0.359, 31
0.456, -0.359, 24
0.484, -0.359, 23
-0.500, -0.331, 34
-0.472, -0.331, 63
-0.444, -0.331, 23
-0.416, -0.331, 45
-0.388, -0.331, 36
-0.359, -0.331, 32
-0.331, -0.331, 21
-0.303, -0.331, 33
-0.275, -0.331, 29
-0.247, -0.331, 30
-0.219, -0.331, 19
-0.191, -0.331, 22
-0.163, -0.331, 25
-0.134, -0.331, 24
-0.106, -0.331, 26
-0.078, -0.331, 28
-0.050, -0.331, 21
-0.022, -0.331, 25
0.006, -0.331, 30
0.034, -0.331, 21
0.062, -0.331, 23
0.091, -0.331, 13
0.119, -0.331, 21
0.147, -0.331, 24
0.175, -0.331, 32
0.203, -0.331, 23
0.231, -0.331, 18
0.259, -0.331, 19
0.287, -0.331, 21
0.316, -0.331, 14
0.344, -0.331, 13
0.372, -0.331, 20
0.400, -0.331, 17
0.428, -0.331, 19
0.456, -0.331, 19
0.484, -0.331, 19
-0.500, -0.303, 51
-0.472, -0.303, 184
