y,x,counts
-0.500, -0.450, 0
-0.472, -0.450, 6
-0.444, -0.450, 2
-0.416, -0.450, 1
-0.388, -0.450, 3
-0.359, -0.450, 2
-0.331, -0.450, 5
-0.303, -0.450, 4
-0.275, -0.450, 0
-0.247, -0.450, 2
-0.219, -0.450, 2
-0.191, -0.450, 2
-0.163, -0.450, 2
-0.134, -0.450, 7
-0.106, -0.450, 8
-0.078, -0.450, 4
-0.050, -0.450, 3
-0.022, -0.450, 5
0.006, -0.450, 3
0.034, -0.450, 5
0.062, -0.450, 5
0.091, -0.450, 2
0.119, -0.450, 4
0.147, -0.450, 5
0.175, -0.450, 4
0.203, -0.450, 2
0.231, -0.450, 2
0.259, -0.450, 5
0.287, -0.450, 3
0.316, -0.450, 1
0.344, -0.450, 2
0.372, -0.450, 2
-0.500, -0.422, 2
-0.472, -0.422, 1
-0.444, -0.422, 2
-0.416, -0.422, 4
-0.388, -0.422, 2
-0.359, -0.422, 2
-0.331, -0.422, 2
-0.303, -0.422, 5
-0.275, -0.422, 3
-0.247, -0.422, 3
-0.219, -0.422, 2
-0.191, -0.422, 5
-0.163, -0.422, 2
-0.134, -0.422, 0
-0.106, -0.422, 1
-0.078, -0.422, 5
-0.050, -0.422, 3
-0.022, -0.422, 2
0.006, -0.422, 3
0.034, -0.422, 2
0.062, -0.422, 1
0.091, -0.422, 2
0.119, -0.422, 2
0.147, -0.422, 2
0.175, -0.422, 1
0.203, -0.422, 2
0.231, -0.422, 3
0.259, -0.422, 3
0.287, -0.422, 1
0.316, -0.422, 0
0.344, -0.422, 5
0.372, -0.422, 4
-0.500, -0.394, 1
-0.472, -0.394, 6
-0.444, -0.394, 6
-0.416, -0.394, 1
-0.388, -0.394, 3
-0.359, -0.394, 1
-0.331, -0.394, 5
-0.303, -0.394, 3
-0.275, -0.394, 12
-0.247, -0.394, 4
-0.219, -0.394, 3
-0.191, -0.394, 4
-0.163, -0.394, 4
-0.134, -0.394, 1
-0.106, -0.394, 2
-0.078, -0.394, 5
-0.050, -0.394, 2
-0.022, -0.394, 2
0.006, -0.394, 1
0.034, -0.394, 2
0.062, -0.394, 5
0.091, -0.394, 3
0.119, -0.394, 4
0.147, -0.394, 1
0.175, -0.394, 3
0.203, -0.394, 2
0.231, -0.394, 1
0.259, -0.394, 4
0.287, -0.394, 3
0.316, -0.394, 3
0.344, -0.394, 0
0.372, -0.394, 2
-0.500, -0.366, 2
-0.472, -0.366, 4
-0.444, -0.366, 2
-0.416, -0.366, 4
-0.388, -0.366, 5
-0.359, -0.366, 2
-0.331, -0.366, 5
-0.303, -0.366, 3
-0.275, -0.366, 2
-0.247, -0.366, 2
-0.219, -0.366, 6
-0.191, -0.366, 5
-0.163, -0.366, 3
-0.134, -0.366, 2
-0.106, -0.366, 8
-0.078, -0.366, 4
-0.050, -0.366, 1
-0.022, -0.366, 3
0.006, -0.366, 2
0.034, -0.366, 1
0.062, -0.366, 7
0.091, -0.366, 5
0.119, -0.366, 3
0.147, -0.366, 2
0.175, -0.366, 2
0.203, -0.366, 1
0.231, -0.366, 2
0.259, -0.366, 5
0.287, -0.366, 2
0.316, -0.366, 5
0.344, -0.366, 1
0.372, -0.366, 4
-0.500, -0.338, 31
-0.472, -0.338, 15
-0.444, -0.338, 0
-0.416, -0.338, 4
-0.388, -0.338, 3
-0.359, -0.338, 4
-0.331, -0.338, 4
-0.303, -0.338, 6
-0.275, -0.338, 7
-0.247, -0.338, 3
-0.219, -0.338, 4
-0.191, -0.338, 4
-0.163, -0.338, 7
-0.134, -0.338, 3
-0.106, -0.338, 2
-0.078, -0.338, 7
-0.050, -0.338, 3
-0.022, -0.338, 1
0.006, -0.338, 2
0.034, -0.338, 3
0.062, -0.338, 3
0.091, -0.338, 5
0.119, -0.338, 1
0.147, -0.338, 4
0.175, -0.338, 5
0.203, -0.338, 2
0.231, -0.338, 5
0.259, -0.338, 0
0.287, -0.338, 3
0.316, -0.338, 2
0.344, -0.338, 2
0.372, -0.338, 3
-0.500, -0.309, 35
-0.472, -0.309, 118
-0.444, -0.309, 39
-0.416, -0.309, 4
-0.388, -0.309, 7
-0.359, -0.309, 4
-0.331, -0.309, 4
-0.303, -0.309, 5
-0.275, -0.309, 1
-0.247, -0.309, 3
-0.219, -0.309, 3
-0.191, -0.309, 4
-0.163, -0.309, 2
-0.134, -0.309, 1
-0.106, -0.309, 1
-0.078, -0.309, 6
-0.050, -0.309, 4
-0.022, -0.309, 5
0.006, -0.309, 6
0.034, -0.309, 5
0.062, -0.309, 2
0.091, -0.309, 3
0.119, -0.309, 3
0.147, -0.309, 4
0.175, -0.309, 2
0.203, -0.309, 3
0.231, -0.309, 2
0.259, -0.309, 7
0.287, -0.309, 2
0.316, -0.309, 1
0.344, -0.309, 5
0.372, -0.309, 3
-0.500, -0.281, 27
-0.472, -0.281, 28
-0.444, -0.281, 61
-0.416, -0.281, 13
-0.388, -0.281, 1
-0.359, -0.281, 5
-0.331, -0.281, 2
-0.303, -0.281, 4
-0.275, -0.281, 2
-0.247, -0.281, 4
-0.219, -0.281, 4
-0.191, -0.281, 5
-0.163, -0.281, 3
-0.134, -0.281, 1
-0.106, -0.281, 4
-0.078, -0.281, 4
-0.050, -0.281, 1
-0.022, -0.281, 5
0.006, -0.281, 5
0.034, -0.281, 4
0.062, -0.281, 1
0.091, -0.281, 2
0.119, -0.281, 4
0.147, -0.281, 2
0.175, -0.281, 2
0.203, -0.281, 4
0.231, -0.281, 4
0.259, -0.281, 5
0.287, -0.281, 2
0.316, -0.281, 1
0.344, -0.281, 2
0.372, -0.281, 1
-0.500, -0.253, 25
-0.472, -0.253, 17
-0.444, -0.253, 169
-0.416, -0.253, 4
-0.388, -0.253, 3
-0.359, -0.253, 5
-0.331, -0.253, 5
-0.303, -0.253, 4
-0.275, -0.253, 3
-0.247, -0.253, 7
-0.219, -0.253, 0
-0.191, -0.253, 2
-0.163, -0.253, 1
-0.134, -0.253, 3
-0.106, -0.253, 3
-0.078, -0.253, 4
-0.050, -0.253, 1
-0.022, -0.253, 4
0.006, -0.253, 4
0.034, -0.253, 3
0.062, -0.253, 1
0.091, -0.253, 2
0.119, -0.253, 3
0.147, -0.253, 1
0.175, -0.253, 2
0.203, -0.253, 5
0.231, -0.253, 2
0.259, -0.253, 2
0.287, -0.253, 2
0.316, -0.253, 1
0.344, -0.253, 2
0.372, -0.253, 3
-0.500, -0.225, 24
-0.472, -0.225, 12
-0.444, -0.225, 96
-0.416, -0.225, 0
-0.388, -0.225, 0
-0.359, -0.225, 1
-0.331, -0.225, 1
-0.303, -0.225, 4
-0.275, -0.225, 2
-0.247, -0.225, 1
-0.219, -0.225, 8
-0.191, -0.225, 1
-0.163, -0.225, 4
-0.134, -0.225, 3
-0.106, -0.225, 4
-0.078, -0.225, 1
-0.050, -0.225, 5
-0.022, -0.225, 2
0.006, -0.225, 3
0.034, -0.225, 5
0.062, -0.225, 2
0.091, -0.225, 1
0.119, -0.225, 2
0.147, -0.225, 6
0.175, -0.225, 2
0.203, -0.225, 1
0.231, -0.225, 4
0.259, -0.225, 3
0.287, -0.225, 0
0.316, -0.225, 6
0.344, -0.225, 3
0.372, -0.225, 0
-0.500, -0.197, 16
-0.472, -0.197, 20
-0.444, -0.197, 179
-0.416, -0.197, 511
-0.388, -0.197, 333
-0.359, -0.197, 116
-0.331, -0.197, 272
-0.303, -0.197, 291
-0.275, -0.197, 174
-0.247, -0.197, 190
-0.219, -0.197, 295
-0.191, -0.197, 267
-0.163, -0.197, 77
-0.134, -0.197, 305
-0.106, -0.197, 322
-0.078, -0.197, 259
-0.050, -0.197, 235
-0.022, -0.197, 167
0.006, -0.197, 230
0.034, -0.197, 243
0.062, -0.197, 256
0.091, -0.197, 209
0.119, -0.197, 227
0.147, -0.197, 164
0.175, -0.197, 20
0.203, -0.197, 3
0.231, -0.197, 4
0.259, -0.197, 4
0.287, -0.197, 2
0.316, -0.197, 5
0.344, -0.197, 2
0.372, -0.197, 6
-0.500, -0.169, 96
