y,x,counts
-0.500, -0.450, 8
-0.472, -0.450, 4
-0.444, -0.450, 2
-0.416, -0.450, 3
-0.388, -0.450, 7
-0.359, -0.450, 3
-0.331, -0.450, 3
-0.303, -0.450, 3
-0.275, -0.450, 7
-0.247, -0.450, 4
-0.219, -0.450, 4
-0.191, -0.450, 2
-0.163, -0.450, 2
-0.134, -0.450, 6
-0.106, -0.450, 8
-0.078, -0.450, 5
-0.050, -0.450, 4
-0.022, -0.450, 3
0.006, -0.450, 3
0.034, -0.450, 4
0.062, -0.450, 2
0.091, -0.450, 5
0.119, -0.450, 1
0.147, -0.450, 5
0.175, -0.450, 4
0.203, -0.450, 5
0.231, -0.450, 1
0.259, -0.450, 4
0.287, -0.450, 3
0.316, -0.450, 4
0.344, -0.450, 5
0.372, -0.450, 3
-0.500, -0.422, 3
-0.472, -0.422, 3
-0.444, -0.422, 3
-0.416, -0.422, 2
-0.388, -0.422, 6
-0.359, -0.422, 3
-0.331, -0.422, 5
-0.303, -0.422, 7
-0.275, -0.422, 1
-0.247, -0.422, 1
-0.219, -0.422, 5
-0.191, -0.422, 2
-0.163, -0.422, 2
-0.134, -0.422, 1
-0.106, -0.422, 2
-0.078, -0.422, 5
-0.050, -0.422, 4
-0.022, -0.422, 3
0.006, -0.422, 2
0.034, -0.422, 6
0.062, -0.422, 3
0.091, -0.422, 1
0.119, -0.422, 2
0.147, -0.422, 5
0.175, -0.422, 1
0.203, -0.422, 5
0.231, -0.422, 5
0.259, -0.422, 2
0.287, -0.422, 4
0.316, -0.422, 3
0.344, -0.422, 2
0.372, -0.422, 2
-0.500, -0.394, 3
-0.472, -0.394, 0
-0.444, -0.394, 4
-0.416, -0.394, 4
-0.388, -0.394, 2
-0.359, -0.394, 1
-0.331, -0.394, 6
-0.303, -0.394, 1
-0.275, -0.394, 5
-0.247, -0.394, 3
-0.219, -0.394, 3
-0.191, -0.394, 10
-0.163, -0.394, 4
-0.134, -0.394, 4
-0.106, -0.394, 6
-0.078, -0.394, 5
-0.050, -0.394, 2
-0.022, -0.394, 1
0.006, -0.394, 6
0.034, -0.394, 2
0.062, -0.394, 6
0.091, -0.394, 2
0.119, -0.394, 4
0.147, -0.394, 2
0.175, -0.394, 3
0.203, -0.394, 8
0.231, -0.394, 3
0.259, -0.394, 3
0.287, -0.394, 6
0.316, -0.394, 4
0.344, -0.394, 5
0.372, -0.394, 3
-0.500, -0.366, 1
-0.472, -0.366, 3
-0.444, -0.366, 3
-0.416, -0.366, 3
-0.388, -0.366, 3
-0.359, -0.366, 4
-0.331, -0.366, 3
-0.303, -0.366, 4
-0.275, -0.366, 7
-0.247, -0.366, 3
-0.219, -0.366, 6
-0.191, -0.366, 9
-0.163, -0.366, 2
-0.134, -0.366, 5
-0.106, -0.366, 2
-0.078, -0.366, 3
-0.050, -0.366, 2
-0.022, -0.366, 1
0.006, -0.366, 2
0.034, -0.366, 4
0.062, -0.366, 4
0.091, -0.366, 1
0.119, -0.366, 2
0.147, -0.366, 4
0.175, -0.366, 1
0.203, -0.366, 4
0.231, -0.366, 4
0.259, -0.366, 5
0.287, -0.366, 3
0.316, -0.366, 2
0.344, -0.366, 2
0.372, -0.366, 2
-0.500, -0.338, 48
-0.472, -0.338, 20
-0.444, -0.338, 3
-0.416, -0.338, 0
-0.388, -0.338, 8
-0.359, -0.338, 2
-0.331, -0.338, 4
-0.303, -0.338, 6
-0.275, -0.338, 4
-0.247, -0.338, 5
-0.219, -0.338, 3
-0.191, -0.338, 4
-0.163, -0.338, 3
-0.134, -0.338, 3
-0.106, -0.338, 4
-0.078, -0.338, 6
-0.050, -0.338, 8
-0.022, -0.338, 6
0.006, -0.338, 4
0.034, -0.338, 8
0.062, -0.338, 4
0.091, -0.338, 2
0.119, -0.338, 3
0.147, -0.338, 5
0.175, -0.338, 5
0.203, -0.338, 4
0.231, -0.338, 5
0.259, -0.338, 5
0.287, -0.338, 5
0.316, -0.338, 8
0.344, -0.338, 1
0.372, -0.338, 3
-0.500, -0.309, 206
-0.472, -0.309, 146
-0.444, -0.309, 335
-0.416, -0.309, 466
-0.388, -0.309, 440
-0.359, -0.309, 104
-0.331, -0.309, 288
-0.303, -0.309, 465
-0.275, -0.309, 85
-0.247, -0.309, 214
-0.219, -0.309, 232
-0.191, -0.309, 183
-0.163, -0.309, 269
-0.134, -0.309, 147
-0.106, -0.309, 163
-0.078, -0.309, 382
-0.050, -0.309, 139
-0.022, -0.309, 302
0.006, -0.309, 153
0.034, -0.309, 402
0.062, -0.309, 485
0.091, -0.309, 187
0.119, -0.309, 227
0.147, -0.309, 157
0.175, -0.309, 13
0.203, -0.309, 1
0.231, -0.309, 2
0.259, -0.309, 3
0.287, -0.309, 1
0.316, -0.309, 1
0.344, -0.309, 6
0.372, -0.309, 3
-0.500, -0.281, 252
-0.472, -0.281, 220
-0.444, -0.281, 479
-0.416, -0.281, 392
-0.388, -0.281, 272
-0.359, -0.281, 223
-0.331, -0.281, 286
-0.303, -0.281, 163
-0.275, -0.281, 368
-0.247, -0.281, 440
-0.219, -0.281, 200
-0.191, -0.281, 422
-0.163, -0.281, 338
-0.134, -0.281, 211
-0.106, -0.281, 214
-0.078, -0.281, 295
-0.050, -0.281, 110
-0.022, -0.281, 357
0.006, -0.281, 309
0.034, -0.281, 213
0.062, -0.281, 323
0.091, -0.281, 254
0.119, -0.281, 234
0.147, -0.281, 357
0.175, -0.281, 172
0.203, -0.281, 50
0.231, -0.281, 3
0.259, -0.281, 5
0.287, -0.281, 5
0.316, -0.281, 3
0.344, -0.281, 5
0.372, -0.281, 6
-0.500, -0.253, 355
-0.472, -0.253, 408
-0.444, -0.253, 426
-0.416, -0.253, 232
-0.388, -0.253, 267
-0.359, -0.253, 329
-0.331, -0.253, 239
-0.303, -0.253, 246
-0.275, -0.253, 184
-0.247, -0.253, 332
-0.219, -0.253, 290
-0.191, -0.253, 317
-0.163, -0.253, 145
-0.134, -0.253, 163
-0.106, -0.253, 228
-0.078, -0.253, 318
-0.050, -0.253, 367
-0.022, -0.253, 202
0.006, -0.253, 310
0.034, -0.253, 232
0.062, -0.253, 388
0.091, -0.253, 235
0.119, -0.253, 158
0.147, -0.253, 320
0.175, -0.253, 146
0.203, -0.253, 228
0.231, -0.253, 2
0.259, -0.253, 5
0.287, -0.253, 2
0.316, -0.253, 3
0.344, -0.253, 1
0.372, -0.253, 5
-0.500, -0.225, 425
-0.472, -0.225, 572
-0.444, -0.225, 357
-0.416, -0.225, 352
-0.388, -0.225, 179
-0.359, -0.225, 200
-0.331, -0.225, 355
-0.303, -0.225, 317
-0.275, -0.225, 249
-0.247, -0.225, 168
-0.219, -0.225, 228
-0.191, -0.225, 282
-0.163, -0.225, 297
-0.134, -0.225, 211
-0.106, -0.225, 90
-0.078, -0.225, 249
-0.050, -0.225, 270
-0.022, -0.225, 558
0.006, -0.225, 113
0.034, -0.225, 395
0.062, -0.225, 264
0.091, -0.225, 134
0.119, -0.225, 270
0.147, -0.225, 286
0.175, -0.225, 336
0.203, -0.225, 216
0.231, -0.225, 9
0.259, -0.225, 8
0.287, -0.225, 3
0.316, -0.225, 2
0.344, -0.225, 3
0.372, -0.225, 2
-0.500, -0.197, 230
-0.472, -0.197, 205
-0.444, -0.197, 390
-0.416, -0.197, 492
-0.388, -0.197, 225
-0.359, -0.197, 278
-0.331, -0.197, 441
-0.303, -0.197, 208
-0.275, -0.197, 280
-0.247, -0.197, 210
-0.219, -0.197, 572
-0.191, -0.197, 168
-0.163, -0.197, 87
-0.134, -0.197, 141
-0.106, -0.197, 400
-0.078, -0.197, 194
-0.050, -0.197, 291
-0.022, -0.197, 153
0.006, -0.197, 383
0.034, -0.197, 290
0.062, -0.197, 235
0.091, -0.197, 195
0.119, -0.197, 449
0.147, -0.197, 136
0.175, -0.197, 259
0.203, -0.197, 280
0.231, -0.197, 0
0.259, -0.197, 3
0.287, -0.197, 3
0.316, -0.197, 3
0.344, -0.197, 3
0.372, -0.197, 2
-0.500, -0.169, 143
-0.472, -0.169, 24
-0.444, -0.169, 453
-0.416, -0.169, 652
-0.388, -0.169, 116
-0.359, -0.169, 288
-0.331, -0.169, 270
-0.303, -0.169, 362
-0.275, -0.169, 239
-0.247, -0.169, 154
-0.219, -0.169, 225
-0.191, -0.169, 382
-0.163, -0.169, 323
-0.134, -0.169, 92
-0.106, -0.169, 316
-0.078, -0.169, 388
-0.050, -0.169, 217
-0.022, -0.169, 150
0.006, -0.169, 565
0.034, -0.169, 80
0.062, -0.169, 452
0.091, -0.169, 147
0.119, -0.169, 315
0.147, -0.169, 267
0.175, -0.169, 136
0.203, -0.169, 33
0.231, -0.169, 3
0.259, -0.169, 3
0.287, -0.169, 4
0.316, -0.169, 4
0.344, -0.169, 4
0.372, -0.169, 3
-0.500, -0.141, 43
-0.472, -0.141, 21
-0.444, -0.141, 72
-0.416, -0.141, 4
-0.388, -0.141, 18
-0.359, -0.141, 57
-0.331, -0.141, 37
-0.303, -0.141, 56
-0.275, -0.141, 94
-0.247, -0.141, 59
-0.219, -0.141, 110
-0.191, -0.141, 225
-0.163, -0.141, 268
-0.134, -0.141, 265
-0.106, -0.141, 372
-0.078, -0.141, 313
-0.050, -0.141, 384
-0.022, -0.141, 300
0.006, -0.141, 238
0.034, -0.141, 216
0.062, -0.141, 294
0.091, -0.141, 426
0.119, -0.141, 185
0.147, -0.141, 111
0.175, -0.141, 8
0.203, -0.141, 3
0.231, -0.141, 1
0.259, -0.141, 5
0.287, -0.141, 1
0.316, -0.141, 4
0.344, -0.141, 7
0.372, -0.141, 2
-0.500, -0.113, 29
-0.472, -0.113, 19
-0.444, -0.113, 132
-0.416, -0.113, 5
-0.388, -0.113, 5
-0.359, -0.113, 1
-0.331, -0.113, 3
-0.303, -0.113, 3
-0.275, -0.113, 2
-0.247, -0.113, 4
-0.219, -0.113, 1
-0.191, -0.113, 3
-0.163, -0.113, 3
-0.134, -0.113, 112
-0.106, -0.113, 638
-0.078, -0.113, 549
-0.050, -0.113, 287
-0.022, -0.113, 132
0.006, -0.113, 306
0.034, -0.113, 243
0.062, -0.113, 160
0.091, -0.113, 451
0.119, -0.113, 181
0.147, -0.113, 17
0.175, -0.113, 9
0.203, -0.113, 6
0.231, -0.113, 2
0.259, -0.113, 7
0.287, -0.113, 2
0.316, -0.113, 3
0.344, -0.113, 2
0.372, -0.113, 5
-0.500, -0.084, 26
-0.472, -0.084, 18
-0.444, -0.084, 16
-0.416, -0.084, 20
-0.388, -0.084, 3
-0.359, -0.084, 3
-0.331, -0.084, 6
-0.303, -0.084, 6
-0.275, -0.084, 5
-0.247, -0.084, 1
-0.219, -0.084, 1
-0.191, -0.084, 4
-0.163, -0.084, 81
-0.134, -0.084, 924
-0.106, -0.084, 302
-0.078, -0.084, 274
-0.050, -0.084, 119
-0.022, -0.084, 335
0.006, -0.084, 176
0.034, -0.084, 240
0.062, -0.084, 299
0.091, -0.084, 104
0.119, -0.084, 12
0.147, -0.084, 11
0.175, -0.084, 13
0.203, -0.084, 6
0.231, -0.084, 0
0.259, -0.084, 3
0.287, -0.084, 2
0.316, -0.084, 3
0.344, -0.084, 1
0.372, -0.084, 3
-0.500, -0.056, 22
-0.472, -0.056, 44
-0.444, -0.056, 22
-0.416, -0.056, 7
-0.388, -0.056, 5
-0.359, -0.056, 3
-0.331, -0.056, 2
-0.303, -0.056, 4
-0.275, -0.056, 1
-0.247, -0.056, 3
-0.219, -0.056, 3
-0.191, -0.056, 117
-0.163, -0.056, 705
-0.134, -0.056, 333
-0.106, -0.056, 410
-0.078, -0.056, 241
-0.050, -0.056, 239
-0.022, -0.056, 241
0.006, -0.056, 163
0.034, -0.056, 300
0.062, -0.056, 65
0.091, -0.056, 7
0.119, -0.056, 5
0.147, -0.056, 3
0.175, -0.056, 4
0.203, -0.056, 3
0.231, -0.056, 5
0.259, -0.056, 5
0.287, -0.056, 6
0.316, -0.056, 5
0.344, -0.056, 4
0.372, -0.056, 3
-0.500, -0.028, 67
-0.472, -0.028, 56
-0.444, -0.028, 18
-0.416, -0.028, 6
-0.388, -0.028, 0
-0.359, -0.028, 2
-0.331, -0.028, 3
-0.303, -0.028, 3
-0.275, -0.028, 5
-0.247, -0.028, 3
-0.219, -0.028, 180
-0.191, -0.028, 1100
-0.163, -0.028, 185
-0.134, -0.028, 253
-0.106, -0.028, 152
-0.078, -0.028, 195
-0.050, -0.028, 136
-0.022, -0.028, 373
0.006, -0.028, 130
0.034, -0.028, 51
0.062, -0.028, 15
0.091, -0.028, 4
0.119, -0.028, 16
0.147, -0.028, 4
0.175, -0.028, 2
0.203, -0.028, 6
0.231, -0.028, 3
0.259, -0.028, 5
0.287, -0.028, 1
0.316, -0.028, 3
0.344, -0.028, 4
0.372, -0.028, 2
-0.500, 0.000, 106
-0.472, 0.000, 128
-0.444, 0.000, 25
-0.416, 0.000, 4
-0.388, 0.000, 4
-0.359, 0.000, 5
-0.331, 0.000, 5
-0.303, 0.000, 7
-0.275, 0.000, 8
-0.247, 0.000, 5
-0.219, 0.000, 530
-0.191, 0.000, 748
-0.163, 0.000, 213
-0.134, 0.000, 147
-0.106, 0.000, 116
-0.078, 0.000, 391
-0.050, 0.000, 162
-0.022, 0.000, 248
0.006, 0.000, 24
0.034, 0.000, 53
0.062, 0.000, 1
0.091, 0.000, 3
0.119, 0.000, 1
0.147, 0.000, 2
0.175, 0.000, 4
0.203, 0.000, 4
0.231, 0.000, 8
0.259, 0.000, 4
0.287, 0.000, 5
0.316, 0.000, 1
0.344, 0.000, 2
0.372, 0.000, 0
-0.500, 0.028, 28
-0.472, 0.028, 94
-0.444, 0.028, 93
-0.416, 0.028, 4
-0.388, 0.028, 4
-0.359, 0.028, 5
-0.331, 0.028, 4
-0.303, 0.028, 5
-0.275, 0.028, 3
-0.247, 0.028, 6
-0.219, 0.028, 960
-0.191, 0.028, 291
-0.163, 0.028, 239
-0.134, 0.028, 404
-0.106, 0.028, 89
-0.078, 0.028, 193
-0.050, 0.028, 460
-0.022, 0.028, 151
0.006, 0.028, 0
0.034, 0.028, 47
0.062, 0.028, 0
0.091, 0.028, 2
0.119, 0.028, 2
0.147, 0.028, 0
0.175, 0.028, 4
0.203, 0.028, 8
0.231, 0.028, 1
0.259, 0.028, 4
0.287, 0.028, 1
0.316, 0.028, 4
0.344, 0.028, 6
0.372, 0.028, 8
-0.500, 0.056, 28
