y,x,counts
-0.500, -0.500, 1
-0.472, -0.500, 11
-0.444, -0.500, 17
-0.416, -0.500, 26
-0.388, -0.500, 32
-0.359, -0.500, 24
-0.331, -0.500, 26
-0.303, -0.500, 32
-0.275, -0.500, 16
-0.247, -0.500, 23
-0.219, -0.500, 26
-0.191, -0.500, 35
-0.163, -0.500, 30
-0.134, -0.500, 21
-0.106, -0.500, 26
-0.078, -0.500, 34
-0.050, -0.500, 27
-0.022, -0.500, 28
0.006, -0.500, 26
0.034, -0.500, 23
0.062, -0.500, 20
0.091, -0.500, 38
0.119, -0.500, 20
0.147, -0.500, 24
0.175, -0.500, 26
0.203, -0.500, 20
0.231, -0.500, 21
0.259, -0.500, 26
0.287, -0.500, 17
0.316, -0.500, 19
0.344, -0.500, 25
0.372, -0.500, 19
0.400, -0.500, 24
0.428, -0.500, 23
0.456, -0.500, 20
0.484, -0.500, 31
-0.500, -0.472, 21
-0.472, -0.472, 31
-0.444, -0.472, 26
-0.416, -0.472, 26
-0.388, -0.472, 26
-0.359, -0.472, 37
-0.331, -0.472, 28
-0.303, -0.472, 24
-0.275, -0.472, 29
-0.247, -0.472, 33
-0.219, -0.472, 21
-0.191, -0.472, 18
-0.163, -0.472, 23
-0.134, -0.472, 22
-0.106, -0.472, 14
-0.078, -0.472, 25
-0.050, -0.472, 21
-0.022, -0.472, 21
0.006, -0.472, 28
0.034, -0.472, 33
0.062, -0.472, 17
0.091, -0.472, 25
0.119, -0.472, 21
0.147, -0.472, 25
0.175, -0.472, 31
0.203, -0.472, 17
0.231, -0.472, 23
0.259, -0.472, 19
0.287, -0.472, 27
0.316, -0.472, 25
0.344, -0.472, 19
0.372, -0.472, 27
0.400, -0.472, 23
0.428, -0.472, 27
0.456, -0.472, 25
0.484, -0.472, 19
-0.500, -0.444, 27
-0.472, -0.444, 21
-0.444, -0.444, 18
-0.416, -0.444, 23
-0.388, -0.444, 31
-0.359, -0.444, 25
-0.331, -0.444, 19
-0.303, -0.444, 22
-0.275, -0.444, 17
-0.247, -0.444, 21
-0.219, -0.444, 19
-0.191, -0.444, 23
-0.163, -0.444, 22
-0.134, -0.444, 28
-0.106, -0.444, 23
-0.078, -0.444, 27
-0.050, -0.444, 31
-0.022, -0.444, 21
0.006, -0.444, 28
0.034, -0.444, 24
0.062, -0.444, 21
0.091, -0.444, 39
0.119, -0.444, 17
0.147, -0.444, 18
0.175, -0.444, 19
0.203, -0.444, 29
0.231, -0.444, 17
0.259, -0.444, 27
0.287, -0.444, 32
0.316, -0.444, 24
0.344, -0.444, 22
0.372, -0.444, 34
0.400, -0.444, 16
0.428, -0.444, 38
0.456, -0.444, 23
0.484, -0.444, 22
-0.500, -0.416, 33
-0.472, -0.416, 21
-0.444, -0.416, 28
-0.416, -0.416, 23
-0.388, -0.416, 28
-0.359, -0.416, 30
-0.331, -0.416, 26
-0.303, -0.416, 24
-0.275, -0.416, 21
-0.247, -0.416, 29
-0.219, -0.416, 18
-0.191, -0.416, 31
-0.163, -0.416, 21
-0.134, -0.416, 35
-0.106, -0.416, 24
-0.078, -0.416, 16
-0.050, -0.416, 21
-0.022, -0.416, 19
0.006, -0.416, 28
0.034, -0.416, 31
0.062, -0.416, 28
0.091, -0.416, 32
0.119, -0.416, 17
0.147, -0.416, 22
0.175, -0.416, 19
0.203, -0.416, 23
0.231, -0.416, 23
0.259, -0.416, 22
0.287, -0.416, 19
0.316, -0.416, 25
0.344, -0.416, 15
0.372, -0.416, 27
0.400, -0.416, 20
0.428, -0.416, 22
0.456, -0.416, 27
0.484, -0.416, 23
-0.500, -0.388, 28
-0.472, -0.388, 15
-0.444, -0.388, 24
-0.416, -0.388, 28
-0.388, -0.388, 21
-0.359, -0.388, 31
-0.331, -0.388, 33
-0.303, -0.388, 32
-0.275, -0.388, 36
-0.247, -0.388, 23
-0.219, -0.388, 21
-0.191, -0.388, 31
-0.163, -0.388, 21
-0.134, -0.388, 15
-0.106, -0.388, 23
-0.078, -0.388, 34
-0.050, -0.388, 21
-0.022, -0.388, 19
0.006, -0.388, 24
0.034, -0.388, 39
0.062, -0.388, 21
0.091, -0.388, 21
0.119, -0.388, 22
0.147, -0.388, 22
0.175, -0.388, 25
0.203, -0.388, 20
0.231, -0.388, 24
0.259, -0.388, 24
0.287, -0.388, 19
0.316, -0.388, 20
0.344, -0.388, 21
0.372, -0.388, 14
0.400, -0.388, 15
0.428, -0.388, 22
0.456, -0.388, 20
0.484, -0.388, 19
-0.500, -0.359, 40
-0.472, -0.359, 23
-0.444, -0.359, 26
-0.416, -0.359, 37
-0.388, -0.359, 43
-0.359, -0.359, 29
-0.331, -0.359, 28
-0.303, -0.359, 29
-0.275, -0.359, 33
-0.247, -0.359, 13
-0.219, -0.359, 23
-0.191, -0.359, 29
-0.163, -0.359, 29
-0.134, -0.359, 25
-0.106, -0.359, 25
-0.078, -0.359, 18
-0.050, -0.359, 20
-0.022, -0.359, 25
0.006, -0.359, 22
0.034, -0.359, 15
0.062, -0.359, 25
0.091, -0.359, 21
0.119, -0.359, 16
0.147, -0.359, 18
0.175, -0.359, 18
0.203, -0.359, 19
0.231, -0.359, 21
0.259, -0.359, 17
0.287, -0.359, 22
0.316, -0.359, 9
0.344, -0.359, 30
0.372, -0.359, 29
0.400, -0.359, 24
0.428, -0.359, 18
0.456, -0.359, 27
0.484, -0.359, 22
-0.500, -0.331, 41
-0.472, -0.331, 97
-0.444, -0.331, 30
-0.416, -0.331, 29
-0.388, -0.331, 30
-0.359, -0.331, 44
-0.331, -0.331, 27
-0.303, -0.331, 33
-0.275, -0.331, 39
-0.247, -0.331, 25
-0.219, -0.331, 26
-0.191, -0.331, 19
-0.163, -0.331, 27
-0.134, -0.331, 18
-0.106, -0.331, 20
-0.078, -0.331, 17
-0.050, -0.331, 25
-0.022, -0.331, 27
0.006, -0.331, 20
0.034, -0.331, 22
0.062, -0.331, 12
0.091, -0.331, 20
0.119, -0.331, 19
0.147, -0.331, 24
0.175, -0.331, 11
0.203, -0.331, 14
0.231, -0.331, 23
0.259, -0.331, 27
0.287, -0.331, 24
0.316, -0.331, 14
0.344, -0.331, 22
0.372, -0.331, 23
0.400, -0.331, 22
0.428, -0.331, 30
0.456, -0.331, 19
0.484, -0.331, 28
-0.500, -0.303, 26
-0.472, -0.303, 547
-0.444, -0.303, 170
-0.416, -0.303, 16
-0.388, -0.303, 27
-0.359, -0.303, 25
-0.331, -0.303, 46
-0.303, -0.303, 35
-0.275, -0.303, 28
-0.247, -0.303, 31
-0.219, -0.303, 21
-0.191, -0.303, 23
-0.163, -0.303, 21
-0.134, -0.303, 24
-0.106, -0.303, 25
-0.078, -0.303, 16
-0.050, -0.303, 17
-0.022, -0.303, 22
0.006, -0.303, 19
0.034, -0.303, 17
0.062, -0.303, 25
0.091, -0.303, 34
0.119, -0.303, 21
0.147, -0.303, 27
0.175, -0.303, 19
0.203, -0.303, 19
0.231, -0.303, 23
0.259, -0.303, 16
0.287, -0.303, 26
0.316, -0.303, 21
0.344, -0.303, 17
0.372, -0.303, 16
0.400, -0.303, 27
0.428, -0.303, 30
0.456, -0.303, 24
0.484, -0.303, 31
-0.500, -0.275, 144
-0.472, -0.275, 338
-0.444, -0.275, 208
-0.416, -0.275, 605
-0.388, -0.275, 614
-0.359, -0.275, 250
-0.331, -0.275, 34
-0.303, -0.275, 5
-0.275, -0.275, 28
-0.247, -0.275, 30
-0.219, -0.275, 31
-0.191, -0.275, 26
-0.163, -0.275, 15
-0.134, -0.275, 25
-0.106, -0.275, 22
-0.078, -0.275, 23
-0.050, -0.275, 34
-0.022, -0.275, 22
0.006, -0.275, 24
0.034, -0.275, 21
0.062, -0.275, 13
0.091, -0.275, 15
0.119, -0.275, 23
0.147, -0.275, 29
0.175, -0.275, 24
0.203, -0.275, 28
0.231, -0.275, 28
0.259, -0.275, 28
0.287, -0.275, 17
0.316, -0.275, 20
0.344, -0.275, 28
0.372, -0.275, 24
0.400, -0.275, 25
0.428, -0.275, 22
0.456, -0.275, 25
0.484, -0.275, 30
-0.500, -0.247, 361
-0.472, -0.247, 797
-0.444, -0.247, 352
-0.416, -0.247, 77
-0.388, -0.247, 171
-0.359, -0.247, 136
-0.331, -0.247, 240
-0.303, -0.247, 7
-0.275, -0.247, 14
-0.247, -0.247, 15
-0.219, -0.247, 22
-0.191, -0.247, 27
-0.163, -0.247, 30
-0.134, -0.247, 24
-0.106, -0.247, 30
-0.078, -0.247, 31
-0.050, -0.247, 17
-0.022, -0.247, 21
0.006, -0.247, 18
0.034, -0.247, 25
0.062, -0.247, 24
0.091, -0.247, 27
0.119, -0.247, 25
0.147, -0.247, 14
0.175, -0.247, 14
0.203, -0.247, 14
0.231, -0.247, 22
0.259, -0.247, 15
0.287, -0.247, 26
0.316, -0.247, 25
0.344, -0.247, 20
0.372, -0.247, 32
0.400, -0.247, 25
0.428, -0.247, 19
0.456, -0.247, 13
0.484, -0.247, 14
-0.500, -0.219, 537
-0.472, -0.219, 303
-0.444, -0.219, 653
-0.416, -0.219, 211
-0.388, -0.219, 177
-0.359, -0.219, 279
-0.331, -0.219, 154
