y,x,counts
-0.500, -0.500, 1
-0.472, -0.500, 11
-0.444, -0.500, 8
-0.416, -0.500, 8
-0.388, -0.500, 12
-0.359, -0.500, 3
-0.331, -0.500, 7
-0.303, -0.500, 4
-0.275, -0.500, 14
-0.247, -0.500, 8
-0.219, -0.500, 3
-0.191, -0.500, 12
-0.163, -0.500, 14
-0.134, -0.500, 5
-0.106, -0.500, 20
-0.078, -0.500, 11
-0.050, -0.500, 16
-0.022, -0.500, 12
0.006, -0.500, 10
0.034, -0.500, 3
0.062, -0.500, 12
0.091, -0.500, 8
0.119, -0.500, 9
0.147, -0.500, 14
0.175, -0.500, 7
0.203, -0.500, 10
0.231, -0.500, 6
0.259, -0.500, 15
0.287, -0.500, 13
0.316, -0.500, 14
0.344, -0.500, 8
0.372, -0.500, 6
0.400, -0.500, 9
0.428, -0.500, 8
0.456, -0.500, 14
0.484, -0.500, 11
-0.500, -0.472, 24
-0.472, -0.472, 19
-0.444, -0.472, 14
-0.416, -0.472, 9
-0.388, -0.472, 2
-0.359, -0.472, 5
-0.331, -0.472, 3
-0.303, -0.472, 12
-0.275, -0.472, 9
-0.247, -0.472, 14
-0.219, -0.472, 11
-0.191, -0.472, 18
-0.163, -0.472, 11
-0.134, -0.472, 7
-0.106, -0.472, 16
-0.078, -0.472, 13
-0.050, -0.472, 9
-0.022, -0.472, 8
0.006, -0.472, 9
0.034, -0.472, 9
0.062, -0.472, 9
0.091, -0.472, 11
0.119, -0.472, 7
0.147, -0.472, 5
0.175, -0.472, 11
0.203, -0.472, 13
0.231, -0.472, 6
0.259, -0.472, 12
0.287, -0.472, 9
0.316, -0.472, 17
0.344, -0.472, 7
0.372, -0.472, 13
0.400, -0.472, 13
0.428, -0.472, 9
0.456, -0.472, 10
0.484, -0.472, 8
-0.500, -0.444, 30
-0.472, -0.444, 13
-0.444, -0.444, 15
-0.416, -0.444, 15
-0.388, -0.444, 23
-0.359, -0.444, 6
-0.331, -0.444, 19
-0.303, -0.444, 8
-0.275, -0.444, 8
-0.247, -0.444, 11
-0.219, -0.444, 9
-0.191, -0.444, 9
-0.163, -0.444, 7
-0.134, -0.444, 6
-0.106, -0.444, 12
-0.078, -0.444, 10
-0.050, -0.444, 6
-0.022, -0.444, 10
0.006, -0.444, 12
0.034, -0.444, 13
0.062, -0.444, 9
0.091, -0.444, 14
0.119, -0.444, 17
0.147, -0.444, 9
0.175, -0.444, 5
0.203, -0.444, 11
0.231, -0.444, 10
0.259, -0.444, 7
0.287, -0.444, 11
0.316, -0.444, 6
0.344, -0.444, 10
0.372, -0.444, 9
0.400, -0.444, 5
0.428, -0.444, 10
0.456, -0.444, 15
0.484, -0.444, 18
-0.500, -0.416, 18
-0.472, -0.416, 6
-0.444, -0.416, 19
-0.416, -0.416, 13
-0.388, -0.416, 17
-0.359, -0.416, 5
-0.331, -0.416, 12
-0.303, -0.416, 8
-0.275, -0.416, 5
-0.247, -0.416, 7
-0.219, -0.416, 13
-0.191, -0.416, 16
-0.163, -0.416, 10
-0.134, -0.416, 6
-0.106, -0.416, 9
-0.078, -0.416, 14
-0.050, -0.416, 11
-0.022, -0.416, 14
0.006, -0.416, 15
0.034, -0.416, 9
0.062, -0.416, 15
0.091, -0.416, 13
0.119, -0.416, 13
0.147, -0.416, 9
0.175, -0.416, 12
0.203, -0.416, 5
0.231, -0.416, 11
0.259, -0.416, 10
0.287, -0.416, 10
0.316, -0.416, 9
0.344, -0.416, 10
0.372, -0.416, 8
0.400, -0.416, 8
0.428, -0.416, 6
0.456, -0.416, 15
0.484, -0.416, 15
-0.500, -0.388, 16
-0.472, -0.388, 16
-0.444, -0.388, 7
-0.416, -0.388, 12
-0.388, -0.388, 10
-0.359, -0.388, 3
-0.331, -0.388, 5
-0.303, -0.388, 9
-0.275, -0.388, 24
-0.247, -0.388, 9
-0.219, -0.388, 11
-0.191, -0.388, 10
-0.163, -0.388, 9
-0.134, -0.388, 11
-0.106, -0.388, 10
-0.078, -0.388, 17
-0.050, -0.388, 8
-0.022, -0.388, 8
0.006, -0.388, 14
0.034, -0.388, 4
0.062, -0.388, 11
0.091, -0.388, 9
0.119, -0.388, 8
0.147, -0.388, 5
0.175, -0.388, 7
0.203, -0.388, 6
0.231, -0.388, 13
0.259, -0.388, 13
0.287, -0.388, 14
0.316, -0.388, 14
0.344, -0.388, 10
0.372, -0.388, 9
0.400, -0.388, 9
0.428, -0.388, 9
0.456, -0.388, 18
0.484, -0.388, 10
-0.500, -0.359, 48
-0.472, -0.359, 4
-0.444, -0.359, 22
-0.416, -0.359, 13
-0.388, -0.359, 10
-0.359, -0.359, 7
-0.331, -0.359, 7
-0.303, -0.359, 15
-0.275, -0.359, 9
-0.247, -0.359, 11
-0.219, -0.359, 8
-0.191, -0.359, 12
-0.163, -0.359, 11
-0.134, -0.359, 13
-0.106, -0.359, 9
-0.078, -0.359, 15
-0.050, -0.359, 29
-0.022, -0.359, 9
0.006, -0.359, 9
0.034, -0.359, 13
0.062, -0.359, 7
0.091, -0.359, 6
0.119, -0.359, 11
0.147, -0.359, 8
0.175, -0.359, 6
0.203, -0.359, 12
0.231, -0.359, 11
0.259, -0.359, 12
0.287, -0.359, 8
0.316, -0.359, 7
0.344, -0.359, 10
0.372, -0.359, 10
0.400, -0.359, 5
0.428, -0.359, 16
0.456, -0.359, 8
0.484, -0.359, 5
-0.500, -0.331, 24
-0.472, -0.331, 225
-0.444, -0.331, 34
-0.416, -0.331, 12
-0.388, -0.331, 10
-0.359, -0.331, 5
-0.331, -0.331, 11
-0.303, -0.331, 5
-0.275, -0.331, 5
-0.247, -0.331, 6
-0.219, -0.331, 14
-0.191, -0.331, 10
-0.163, -0.331, 10
-0.134, -0.331, 9
-0.106, -0.331, 10
-0.078, -0.331, 17
-0.050, -0.331, 12
-0.022, -0.331, 14
0.006, -0.331, 17
0.034, -0.331, 16
0.062, -0.331, 5
0.091, -0.331, 11
0.119, -0.331, 3
0.147, -0.331, 14
0.175, -0.331, 18
0.203, -0.331, 9
0.231, -0.331, 5
0.259, -0.331, 15
0.287, -0.331, 9
0.316, -0.331, 9
0.344, -0.331, 7
0.372, -0.331, 13
0.400, -0.331, 13
0.428, -0.331, 5
0.456, -0.331, 17
0.484, -0.331, 8
-0.500, -0.303, 30
-0.472, -0.303, 276
-0.444, -0.303, 177
-0.416, -0.303, 22
-0.388, -0.303, 7
-0.359, -0.303, 6
-0.331, -0.303, 13
-0.303, -0.303, 8
-0.275, -0.303, 12
-0.247, -0.303, 9
-0.219, -0.303, 7
-0.191, -0.303, 11
-0.163, -0.303, 11
-0.134, -0.303, 7
-0.106, -0.303, 12
-0.078, -0.303, 12
-0.050, -0.303, 8
-0.022, -0.303, 13
0.006, -0.303, 8
0.034, -0.303, 13
0.062, -0.303, 5
0.091, -0.303, 9
0.119, -0.303, 10
0.147, -0.303, 9
0.175, -0.303, 5
0.203, -0.303, 7
0.231, -0.303, 11
0.259, -0.303, 6
0.287, -0.303, 5
0.316, -0.303, 3
0.344, -0.303, 6
0.372, -0.303, 6
0.400, -0.303, 7
0.428, -0.303, 8
0.456, -0.303, 5
0.484, -0.303, 10
-0.500, -0.275, 44
-0.472, -0.275, 368
-0.444, -0.275, 109
-0.416, -0.275, 74
-0.388, -0.275, 49
-0.359, -0.275, 24
-0.331, -0.275, 91
-0.303, -0.275, 45
-0.275, -0.275, 18
-0.247, -0.275, 30
-0.219, -0.275, 32
-0.191, -0.275, 17
-0.163, -0.275, 16
-0.134, -0.275, 18
-0.106, -0.275, 15
-0.078, -0.275, 16
-0.050, -0.275, 16
-0.022, -0.275, 22
0.006, -0.275, 14
0.034, -0.275, 17
0.062, -0.275, 11
0.091, -0.275, 10
0.119, -0.275, 15
0.147, -0.275, 14
0.175, -0.275, 2
0.203, -0.275, 7
0.231, -0.275, 10
0.259, -0.275, 7
0.287, -0.275, 10
0.316, -0.275, 13
0.344, -0.275, 6
0.372, -0.275, 12
0.400, -0.275, 20
0.428, -0.275, 18
0.456, -0.275, 8
0.484, -0.275, 10
-0.500, -0.247, 221
-0.472, -0.247, 797
-0.444, -0.247, 133
-0.416, -0.247, 1214
-0.388, -0.247, 337
-0.359, -0.247, 391
-0.331, -0.247, 63
-0.303, -0.247, 115
-0.275, -0.247, 430
-0.247, -0.247, 109
-0.219, -0.247, 417
-0.191, -0.247, 314
-0.163, -0.247, 292
-0.134, -0.247, 49
-0.106, -0.247, 336
-0.078, -0.247, 164
-0.050, -0.247, 403
-0.022, -0.247, 106
0.006, -0.247, 305
0.034, -0.247, 243
0.062, -0.247, 186
0.091, -0.247, 264
0.119, -0.247, 386
0.147, -0.247, 58
0.175, -0.247, 98
0.203, -0.247, 7
0.231, -0.247, 12
0.259, -0.247, 9
0.287, -0.247, 15
0.316, -0.247, 11
0.344, -0.247, 10
0.372, -0.247, 7
0.400, -0.247, 8
0.428, -0.247, 12
0.456, -0.247, 12
0.484, -0.247, 14
-0.500, -0.219, 1076
-0.472, -0.219, 124
-0.444, -0.219, 800
-0.416, -0.219, 162
-0.388, -0.219, 589
-0.359, -0.219, 229
