y,x,counts
-0.500, -0.500, 36
-0.472, -0.500, 23
-0.444, -0.500, 10
-0.416, -0.500, 14
-0.388, -0.500, 16
-0.359, -0.500, 9
-0.331, -0.500, 14
-0.303, -0.500, 19
-0.275, -0.500, 17
-0.247, -0.500, 18
-0.219, -0.500, 17
-0.191, -0.500, 14
-0.163, -0.500, 25
-0.134, -0.500, 17
-0.106, -0.500, 14
-0.078, -0.500, 27
-0.050, -0.500, 29
-0.022, -0.500, 22
0.006, -0.500, 17
0.034, -0.500, 16
0.062, -0.500, 17
0.091, -0.500, 22
0.119, -0.500, 17
0.147, -0.500, 15
0.175, -0.500, 17
0.203, -0.500, 18
0.231, -0.500, 24
0.259, -0.500, 15
0.287, -0.500, 25
0.316, -0.500, 17
0.344, -0.500, 14
0.372, -0.500, 10
0.400, -0.500, 17
0.428, -0.500, 23
0.456, -0.500, 22
0.484, -0.500, 21
-0.500, -0.472, 18
-0.472, -0.472, 24
-0.444, -0.472, 17
-0.416, -0.472, 18
-0.388, -0.472, 17
-0.359, -0.472, 14
-0.331, -0.472, 11
-0.303, -0.472, 20
-0.275, -0.472, 15
-0.247, -0.472, 23
-0.219, -0.472, 20
-0.191, -0.472, 23
-0.163, -0.472, 15
-0.134, -0.472, 16
-0.106, -0.472, 16
-0.078, -0.472, 14
-0.050, -0.472, 14
-0.022, -0.472, 17
0.006, -0.472, 18
0.034, -0.472, 15
0.062, -0.472, 12
0.091, -0.472, 20
0.119, -0.472, 15
0.147, -0.472, 19
0.175, -0.472, 10
0.203, -0.472, 22
0.231, -0.472, 22
0.259, -0.472, 21
0.287, -0.472, 16
0.316, -0.472, 16
0.344, -0.472, 17
0.372, -0.472, 18
0.400, -0.472, 16
0.428, -0.472, 19
0.456, -0.472, 22
0.484, -0.472, 20
-0.500, -0.444, 27
-0.472, -0.444, 9
-0.444, -0.444, 14
-0.416, -0.444, 17
-0.388, -0.444, 15
-0.359, -0.444, 13
-0.331, -0.444, 19
-0.303, -0.444, 22
-0.275, -0.444, 26
-0.247, -0.444, 27
-0.219, -0.444, 12
-0.191, -0.444, 24
-0.163, -0.444, 18
-0.134, -0.444, 15
-0.106, -0.444, 16
-0.078, -0.444, 19
-0.050, -0.444, 17
-0.022, -0.444, 18
0.006, -0.444, 36
0.034, -0.444, 19
0.062, -0.444, 15
0.091, -0.444, 27
0.119, -0.444, 24
0.147, -0.444, 17
0.175, -0.444, 21
0.203, -0.444, 15
0.231, -0.444, 10
0.259, -0.444, 24
0.287, -0.444, 22
0.316, -0.444, 20
0.344, -0.444, 14
0.372, -0.444, 19
0.400, -0.444, 18
0.428, -0.444, 23
0.456, -0.444, 16
0.484, -0.444, 17
-0.500, -0.416, 30
-0.472, -0.416, 22
-0.444, -0.416, 20
-0.416, -0.416, 16
-0.388, -0.416, 22
-0.359, -0.416, 11
-0.331, -0.416, 9
-0.303, -0.416, 15
-0.275, -0.416, 18
-0.247, -0.416, 14
-0.219, -0.416, 19
-0.191, -0.416, 14
-0.163, -0.416, 26
-0.134, -0.416, 17
-0.106, -0.416, 22
-0.078, -0.416, 14
-0.050, -0.416, 16
-0.022, -0.416, 18
0.006, -0.416, 16
0.034, -0.416, 14
0.062, -0.416, 22
0.091, -0.416, 21
0.119, -0.416, 26
0.147, -0.416, 16
0.175, -0.416, 19
0.203, -0.416, 17
0.231, -0.416, 21
0.259, -0.416, 14
0.287, -0.416, 17
0.316, -0.416, 20
0.344, -0.416, 10
0.372, -0.416, 19
0.400, -0.416, 19
0.428, -0.416, 22
0.456, -0.416, 21
0.484, -0.416, 29
-0.500, -0.388, 16
-0.472, -0.388, 11
-0.444, -0.388, 22
-0.416, -0.388, 15
-0.388, -0.388, 14
-0.359, -0.388, 12
-0.331, -0.388, 21
-0.303, -0.388, 14
-0.275, -0.388, 23
-0.247, -0.388, 18
-0.219, -0.388, 27
-0.191, -0.388, 23
-0.163, -0.388, 24
-0.134, -0.388, 15
-0.106, -0.388, 17
-0.078, -0.388, 20
-0.050, -0.388, 19
-0.022, -0.388, 16
0.006, -0.388, 19
0.034, -0.388, 15
0.062, -0.388, 24
0.091, -0.388, 18
0.119, -0.388, 9
0.147, -0.388, 18
0.175, -0.388, 20
0.203, -0.388, 15
0.231, -0.388, 22
0.259, -0.388, 9
0.287, -0.388, 17
0.316, -0.388, 12
0.344, -0.388, 16
0.372, -0.388, 19
0.400, -0.388, 17
0.428, -0.388, 7
0.456, -0.388, 15
0.484, -0.388, 24
-0.500, -0.359, 18
-0.472, -0.359, 19
-0.444, -0.359, 18
-0.416, -0.359, 19
-0.388, -0.359, 20
-0.359, -0.359, 19
-0.331, -0.359, 14
-0.303, -0.359, 17
-0.275, -0.359, 21
-0.247, -0.359, 22
-0.219, -0.359, 21
-0.191, -0.359, 20
-0.163, -0.359, 21
-0.134, -0.359, 19
-0.106, -0.359, 21
-0.078, -0.359, 24
-0.050, -0.359, 20
-0.022, -0.359, 22
0.006, -0.359, 6
0.034, -0.359, 15
0.062, -0.359, 22
0.091, -0.359, 26
0.119, -0.359, 23
0.147, -0.359, 23
0.175, -0.359, 19
0.203, -0.359, 10
0.231, -0.359, 22
0.259, -0.359, 19
0.287, -0.359, 15
0.316, -0.359, 25
0.344, -0.359, 18
0.372, -0.359, 13
0.400, -0.359, 16
0.428, -0.359, 19
0.456, -0.359, 21
0.484, -0.359, 20
-0.500, -0.331, 19
-0.472, -0.331, 29
-0.444, -0.331, 23
-0.416, -0.331, 7
-0.388, -0.331, 13
-0.359, -0.331, 13
-0.331, -0.331, 16
-0.303, -0.331, 21
-0.275, -0.331, 23
-0.247, -0.331, 28
-0.219, -0.331, 14
-0.191, -0.331, 18
-0.163, -0.331, 17
-0.134, -0.331, 17
-0.106, -0.331, 13
-0.078, -0.331, 20
-0.050, -0.331, 22
-0.022, -0.331, 22
0.006, -0.331, 17
0.034, -0.331, 17
0.062, -0.331, 19
0.091, -0.331, 15
0.119, -0.331, 18
0.147, -0.331, 20
0.175, -0.331, 14
0.203, -0.331, 11
0.231, -0.331, 19
0.259, -0.331, 15
0.287, -0.331, 14
0.316, -0.331, 17
0.344, -0.331, 20
0.372, -0.331, 14
0.400, -0.331, 26
0.428, -0.331, 30
0.456, -0.331, 14
0.484, -0.331, 24
-0.500, -0.303, 26
-0.472, -0.303, 78
-0.444, -0.303, 58
-0.416, -0.303, 24
-0.388, -0.303, 22
-0.359, -0.303, 17
-0.331, -0.303, 15
-0.303, -0.303, 14
-0.275, -0.303, 19
-0.247, -0.303, 27
-0.219, -0.303, 15
-0.191, -0.303, 14
