y,x,counts
-0.500, -0.500, 5
-0.472, -0.500, 22
-0.444, -0.500, 16
-0.416, -0.500, 21
-0.388, -0.500, 9
-0.359, -0.500, 16
-0.331, -0.500, 14
-0.303, -0.500, 18
-0.275, -0.500, 18
-0.247, -0.500, 28
-0.219, -0.500, 29
-0.191, -0.500, 18
-0.163, -0.500, 18
-0.134, -0.500, 14
-0.106, -0.500, 32
-0.078, -0.500, 22
-0.050, -0.500, 10
-0.022, -0.500, 16
0.006, -0.500, 24
0.034, -0.500, 23
0.062, -0.500, 17
0.091, -0.500, 10
0.119, -0.500, 24
0.147, -0.500, 19
0.175, -0.500, 20
0.203, -0.500, 15
0.231, -0.500, 20
0.259, -0.500, 13
0.287, -0.500, 12
0.316, -0.500, 15
0.344, -0.500, 21
0.372, -0.500, 14
0.400, -0.500, 21
0.428, -0.500, 18
0.456, -0.500, 18
0.484, -0.500, 12
-0.500, -0.472, 31
-0.472, -0.472, 15
-0.444, -0.472, 30
-0.416, -0.472, 21
-0.388, -0.472, 11
-0.359, -0.472, 14
-0.331, -0.472, 16
-0.303, -0.472, 15
-0.275, -0.472, 24
-0.247, -0.472, 17
-0.219, -0.472, 11
-0.191, -0.472, 20
-0.163, -0.472, 13
-0.134, -0.472, 18
-0.106, -0.472, 14
-0.078, -0.472, 19
-0.050, -0.472, 16
-0.022, -0.472, 15
0.006, -0.472, 22
0.034, -0.472, 24
0.062, -0.472, 19
0.091, -0.472, 18
0.119, -0.472, 21
0.147, -0.472, 18
0.175, -0.472, 25
0.203, -0.472, 8
0.231, -0.472, 21
0.259, -0.472, 19
0.287, -0.472, 17
0.316, -0.472, 19
0.344, -0.472, 21
0.372, -0.472, 25
0.400, -0.472, 24
0.428, -0.472, 17
0.456, -0.472, 16
0.484, -0.472, 17
-0.500, -0.444, 12
-0.472, -0.444, 29
-0.444, -0.444, 13
-0.416, -0.444, 22
-0.388, -0.444, 18
-0.359, -0.444, 15
-0.331, -0.444, 23
-0.303, -0.444, 20
-0.275, -0.444, 19
-0.247, -0.444, 21
-0.219, -0.444, 21
-0.191, -0.444, 28
-0.163, -0.444, 25
-0.134, -0.444, 28
-0.106, -0.444, 27
-0.078, -0.444, 24
-0.050, -0.444, 11
-0.022, -0.444, 14
0.006, -0.444, 20
0.034, -0.444, 20
0.062, -0.444, 17
0.091, -0.444, 24
0.119, -0.444, 18
0.147, -0.444, 18
0.175, -0.444, 19
0.203, -0.444, 11
0.231, -0.444, 23
0.259, -0.444, 24
