y,x,counts
-0.500, -0.500, 8
-0.469, -0.500, 7
-0.438, -0.500, 8
-0.406, -0.500, 11
-0.375, -0.500, 11
-0.344, -0.500, 7
-0.312, -0.500, 5
-0.281, -0.500, 6
-0.250, -0.500, 4
-0.219, -0.500, 11
-0.188, -0.500, 8
-0.156, -0.500, 7
-0.125, -0.500, 9
-0.094, -0.500, 9
-0.062, -0.500, 17
-0.031, -0.500, 3
0.000, -0.500, 6
0.031, -0.500, 7
0.062, -0.500, 8
0.094, -0.500, 10
0.125, -0.500, 12
0.156, -0.500, 8
0.188, -0.500, 11
0.219, -0.500, 12
0.250, -0.500, 13
0.281, -0.500, 6
0.312, -0.500, 5
0.344, -0.500, 14
0.375, -0.500, 10
0.406, -0.500, 14
0.438, -0.500, 7
0.469, -0.500, 9
-0.500, -0.469, 6
-0.469, -0.469, 11
-0.438, -0.469, 6
-0.406, -0.469, 8
-0.375, -0.469, 8
-0.344, -0.469, 9
-0.312, -0.469, 11
-0.281, -0.469, 16
-0.250, -0.469, 7
-0.219, -0.469, 12
-0.188, -0.469, 7
-0.156, -0.469, 12
-0.125, -0.469, 8
-0.094, -0.469, 10
-0.062, -0.469, 16
-0.031, -0.469, 18
0.000, -0.469, 12
0.031, -0.469, 9
0.062, -0.469, 13
0.094, -0.469, 11
0.125, -0.469, 7
0.156, -0.469, 9
0.188, -0.469, 4
0.219, -0.469, 12
0.250, -0.469, 8
0.281, -0.469, 8
0.312, -0.469, 11
0.344, -0.469, 8
0.375, -0.469, 6
0.406, -0.469, 10
0.438, -0.469, 14
0.469, -0.469, 13
-0.500, -0.438, 13
-0.469, -0.438, 6
-0.438, -0.438, 10
-0.406, -0.438, 15
-0.375, -0.438, 10
-0.344, -0.438, 17
-0.312, -0.438, 16
-0.281, -0.438, 11
-0.250, -0.438, 9
-0.219, -0.438, 7
-0.188, -0.438, 8
-0.156, -0.438, 14
-0.125, -0.438, 8
-0.094, -0.438, 11
-0.062, -0.438, 13
-0.031, -0.438, 6
0.000, -0.438, 11
0.031, -0.438, 13
0.062, -0.438, 13
0.094, -0.438, 3
0.125, -0.438, 4
0.156, -0.438, 7
0.188, -0.438, 8
0.219, -0.438, 11
0.250, -0.438, 18
0.281, -0.438, 12
0.312, -0.438, 8
0.344, -0.438, 12
0.375, -0.438, 6
0.406, -0.438, 3
0.438, -0.438, 7
0.469, -0.438, 3
-0.500, -0.406, 9
-0.469, -0.406, 13
-0.438, -0.406, 15
-0.406, -0.406, 4
-0.375, -0.406, 13
-0.344, -0.406, 7
-0.312, -0.406, 6
-0.281, -0.406, 13
-0.250, -0.406, 13
-0.219, -0.406, 19
-0.188, -0.406, 8
-0.156, -0.406, 12
-0.125, -0.406, 5
-0.094, -0.406, 17
-0.062, -0.406, 19
-0.031, -0.406, 12
0.000, -0.406, 9
0.031, -0.406, 10
0.062, -0.406, 13
0.094, -0.406, 7
0.125, -0.406, 8
0.156, -0.406, 4
0.188, -0.406, 7
0.219, -0.406, 8
0.250, -0.406, 10
0.281, -0.406, 10
0.312, -0.406, 6
0.344, -0.406, 11
0.375, -0.406, 7
0.406, -0.406, 10
0.438, -0.406, 9
0.469, -0.406, 9
-0.500, -0.375, 16
-0.469, -0.375, 13
-0.438, -0.375, 4
-0.406, -0.375, 8
-0.375, -0.375, 13
-0.344, -0.375, 13
-0.312, -0.375, 11
-0.281, -0.375, 14
-0.250, -0.375, 16
-0.219, -0.375, 7
-0.188, -0.375, 8
-0.156, -0.375, 6
-0.125, -0.375, 10
-0.094, -0.375, 15
-0.062, -0.375, 5
-0.031, -0.375, 8
0.000, -0.375, 7
0.031, -0.375, 8
0.062, -0.375, 9
0.094, -0.375, 10
0.125, -0.375, 3
0.156, -0.375, 8
