y,x,counts
-0.500, -0.500, 13
-0.472, -0.500, 27
-0.444, -0.500, 18
-0.416, -0.500, 15
-0.388, -0.500, 28
-0.359, -0.500, 13
-0.331, -0.500, 5
-0.303, -0.500, 17
-0.275, -0.500, 23
-0.247, -0.500, 20
-0.219, -0.500, 15
-0.191, -0.500, 20
-0.163, -0.500, 26
-0.134, -0.500, 12
-0.106, -0.500, 35
-0.078, -0.500, 23
-0.050, -0.500, 17
-0.022, -0.500, 15
0.006, -0.500, 19
0.034, -0.500, 15
0.062, -0.500, 22
0.091, -0.500, 18
0.119, -0.500, 15
0.147, -0.500, 18
0.175, -0.500, 15
0.203, -0.500, 26
0.231, -0.500, 23
0.259, -0.500, 32
0.287, -0.500, 21
0.316, -0.500, 18
0.344, -0.500, 16
0.372, -0.500, 18
0.400, -0.500, 16
0.428, -0.500, 19
0.456, -0.500, 16
0.484, -0.500, 24
-0.500, -0.472, 22
-0.472, -0.472, 20
-0.444, -0.472, 17
-0.416, -0.472, 26
-0.388, -0.472, 7
-0.359, -0.472, 18
-0.331, -0.472, 18
-0.303, -0.472, 16
-0.275, -0.472, 18
-0.247, -0.472, 30
-0.219, -0.472, 18
-0.191, -0.472, 22
-0.163, -0.472, 19
-0.134, -0.472, 22
-0.106, -0.472, 26
-0.078, -0.472, 15
-0.050, -0.472, 25
-0.022, -0.472, 22
0.006, -0.472, 20
0.034, -0.472, 19
0.062, -0.472, 21
0.091, -0.472, 15
0.119, -0.472, 13
0.147, -0.472, 16
0.175, -0.472, 14
0.203, -0.472, 23
0.231, -0.472, 14
0.259, -0.472, 16
0.287, -0.472, 25
0.316, -0.472, 25
0.344, -0.472, 16
0.372, -0.472, 17
0.400, -0.472, 17
0.428, -0.472, 21
0.456, -0.472, 17
0.484, -0.472, 21
-0.500, -0.444, 30
-0.472, -0.444, 21
-0.444, -0.444, 23
-0.416, -0.444, 20
-0.388, -0.444, 21
-0.359, -0.444, 10
-0.331, -0.444, 15
-0.303, -0.444, 13
-0.275, -0.444, 21
-0.247, -0.444, 18
-0.219, -0.444, 25
-0.191, -0.444, 17
-0.163, -0.444, 17
-0.134, -0.444, 19
-0.106, -0.444, 13
-0.078, -0.444, 23
-0.050, -0.444, 24
-0.022, -0.444, 17
0.006, -0.444, 13
0.034, -0.444, 25
0.062, -0.444, 23
0.091, -0.444, 27
0.119, -0.444, 20
0.147, -0.444, 20
0.175, -0.444, 17
0.203, -0.444, 20
0.231, -0.444, 15
0.259, -0.444, 15
0.287, -0.444, 15
0.316, -0.444, 14
0.344, -0.444, 18
0.372, -0.444, 17
0.400, -0.444, 18
0.428, -0.444, 30
0.456, -0.444, 25
0.484, -0.444, 26
-0.500, -0.416, 31
-0.472, -0.416, 28
-0.444, -0.416, 27
-0.416, -0.416, 16
-0.388, -0.416, 12
-0.359, -0.416, 19
-0.331, -0.416, 11
-0.303, -0.416, 12
-0.275, -0.416, 22
-0.247, -0.416, 14
-0.219, -0.416, 18
-0.191, -0.416, 19
-0.163, -0.416, 23
-0.134, -0.416, 17
-0.106, -0.416, 28
-0.078, -0.416, 18
-0.050, -0.416, 21
-0.022, -0.416, 16
0.006, -0.416, 21
0.034, -0.416, 24
0.062, -0.416, 30
0.091, -0.416, 21
0.119, -0.416, 18
0.147, -0.416, 23
0.175, -0.416, 17
0.203, -0.416, 15
0.231, -0.416, 22
0.259, -0.416, 17
0.287, -0.416, 16
0.316, -0.416, 17
0.344, -0.416, 12
0.372, -0.416, 15
0.400, -0.416, 14
0.428, -0.416, 16
0.456, -0.416, 21
0.484, -0.416, 17
-0.500, -0.388, 37
-0.472, -0.388, 31
-0.444, -0.388, 11
-0.416, -0.388, 12
-0.388, -0.388, 21
-0.359, -0.388, 12
-0.331, -0.388, 15
-0.303, -0.388, 12
-0.275, -0.388, 15
-0.247, -0.388, 21
-0.219, -0.388, 23
-0.191, -0.388, 23
-0.163, -0.388, 20
-0.134, -0.388, 22
-0.106, -0.388, 12
-0.078, -0.388, 20
-0.050, -0.388, 15
-0.022, -0.388, 14
0.006, -0.388, 13
0.034, -0.388, 24
0.062, -0.388, 22
0.091, -0.388, 13
0.119, -0.388, 18
0.147, -0.388, 18
0.175, -0.388, 19
0.203, -0.388, 14
0.231, -0.388, 17
0.259, -0.388, 18
0.287, -0.388, 19
0.316, -0.388, 16
0.344, -0.388, 17
0.372, -0.388, 20
0.400, -0.388, 16
0.428, -0.388, 18
0.456, -0.388, 14
0.484, -0.388, 24
-0.500, -0.359, 25
-0.472, -0.359, 23
-0.444, -0.359, 12
-0.416, -0.359, 18
-0.388, -0.359, 11
-0.359, -0.359, 19
-0.331, -0.359, 22
-0.303, -0.359, 14
-0.275, -0.359, 16
-0.247, -0.359, 20
-0.219, -0.359, 15
-0.191, -0.359, 18
-0.163, -0.359, 24
-0.134, -0.359, 11
-0.106, -0.359, 14
-0.078, -0.359, 17
-0.050, -0.359, 25
-0.022, -0.359, 17
0.006, -0.359, 16
0.034, -0.359, 20
0.062, -0.359, 16
0.091, -0.359, 22
0.119, -0.359, 24
0.147, -0.359, 23
0.175, -0.359, 16
0.203, -0.359, 19
0.231, -0.359, 24
0.259, -0.359, 17
0.287, -0.359, 10
0.316, -0.359, 16
0.344, -0.359, 11
0.372, -0.359, 19
0.400, -0.359, 17
0.428, -0.359, 16
0.456, -0.359, 22
0.484, -0.359, 24
-0.500, -0.331, 21
-0.472, -0.331, 35
-0.444, -0.331, 26
-0.416, -0.331, 17
-0.388, -0.331, 17
-0.359, -0.331, 16
-0.331, -0.331, 13
-0.303, -0.331, 21
-0.275, -0.331, 9
-0.247, -0.331, 14
-0.219, -0.331, 15
-0.191, -0.331, 23
-0.163, -0.331, 20
-0.134, -0.331, 29
-0.106, -0.331, 15
-0.078, -0.331, 23
-0.050, -0.331, 20
-0.022, -0.331, 21
0.006, -0.331, 20
0.034, -0.331, 14
0.062, -0.331, 21
0.091, -0.331, 18
0.119, -0.331, 18
0.147, -0.331, 22
0.175, -0.331, 17
0.203, -0.331, 11
0.231, -0.331, 21
0.259, -0.331, 29
0.287, -0.331, 17
0.316, -0.331, 17
0.344, -0.331, 14
0.372, -0.331, 26
0.400, -0.331, 23
0.428, -0.331, 20
0.456, -0.331, 18
0.484, -0.331, 24
-0.500, -0.303, 21
-0.472, -0.303, 76
