y,x,counts
-0.500, -0.350, 8
-0.478, -0.350, 4
-0.456, -0.350, 10
-0.434, -0.350, 4
-0.412, -0.350, 10
-0.391, -0.350, 10
-0.369, -0.350, 13
-0.347, -0.350, 13
-0.325, -0.350, 14
-0.303, -0.350, 9
-0.281, -0.350, 11
-0.259, -0.350, 8
-0.237, -0.350, 5
-0.216, -0.350, 12
-0.194, -0.350, 18
-0.172, -0.350, 8
-0.150, -0.350, 12
-0.128, -0.350, 4
-0.106, -0.350, 3
-0.084, -0.350, 10
-0.062, -0.350, 6
-0.041, -0.350, 4
-0.019, -0.350, 14
0.003, -0.350, 18
0.025, -0.350, 9
0.047, -0.350, 5
0.069, -0.350, 10
0.091, -0.350, 18
0.113, -0.350, 9
0.134, -0.350, 7
0.156, -0.350, 11
0.178, -0.350, 12
-0.500, -0.328, 13
-0.478, -0.328, 12
-0.456, -0.328, 9
-0.434, -0.328, 6
-0.412, -0.328, 11
-0.391, -0.328, 8
-0.369, -0.328, 8
-0.347, -0.328, 12
-0.325, -0.328, 7
-0.303, -0.328, 16
-0.281, -0.328, 10
-0.259, -0.328, 9
-0.237, -0.328, 4
-0.216, -0.328, 8
-0.194, -0.328, 9
-0.172, -0.328, 8
-0.150, -0.328, 12
-0.128, -0.328, 9
-0.106, -0.328, 6
-0.084, -0.328, 10
-0.062, -0.328, 5
-0.041, -0.328, 10
-0.019, -0.328, 16
0.003, -0.328, 10
0.025, -0.328, 13
0.047, -0.328, 8
0.069, -0.328, 9
0.091, -0.328, 8
0.113, -0.328, 10
0.134, -0.328, 8
0.156, -0.328, 10
0.178, -0.328, 9
-0.500, -0.306, 11
-0.478, -0.306, 18
-0.456, -0.306, 12
-0.434, -0.306, 13
-0.412, -0.306, 16
-0.391, -0.306, 15
-0.369, -0.306, 11
-0.347, -0.306, 7
-0.325, -0.306, 12
-0.303, -0.306, 11
-0.281, -0.306, 11
-0.259, -0.306, 8
-0.237, -0.306, 12
-0.216, -0.306, 17
-0.194, -0.306, 9
-0.172, -0.306, 13
-0.150, -0.306, 9
-0.128, -0.306, 10
-0.106, -0.306, 6
-0.084, -0.306, 11
-0.062, -0.306, 5
-0.041, -0.306, 14
-0.019, -0.306, 12
0.003, -0.306, 6
0.025, -0.306, 9
0.047, -0.306, 17
0.069, -0.306, 9
0.091, -0.306, 16
0.113, -0.306, 10
0.134, -0.306, 10
0.156, -0.306, 9
0.178, -0.306, 5
-0.500, -0.284, 15
-0.478, -0.284, 15
-0.456, -0.284, 18
-0.434, -0.284, 27
-0.412, -0.284, 12
-0.391, -0.284, 13
-0.369, -0.284, 12
-0.347, -0.284, 9
-0.325, -0.284, 9
-0.303, -0.284, 7
-0.281, -0.284, 4
-0.259, -0.284, 7
-0.237, -0.284, 14
-0.216, -0.284, 8
-0.194, -0.284, 16
-0.172, -0.284, 7
-0.150, -0.284, 8
-0.128, -0.284, 9
-0.106, -0.284, 12
-0.084, -0.284, 14
-0.062, -0.284, 9
-0.041, -0.284, 6
-0.019, -0.284, 7
0.003, -0.284, 11
0.025, -0.284, 12
0.047, -0.284, 6
